"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z201934422","2.12.2019 9:30:53","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","53346,790","20,000","64016,150","6","platná",
"Z201934422","2.12.2019 9:03:28","43902138","WARGAS s.r.o. ","Slovenská republika","53189,300","20,000","63827,160","1","platná",
"Z201934447","2.12.2019 8:59:07","31410952","MICROCOMP - Computersystém s r.o.","Slovenská republika","6666,800","20,000","8000,160","1","platná",
"Z201934447","2.12.2019 9:52:48","37212931","Henrich Sonnenschein - ITSK","Slovenská republika","6672,110","20,000","8006,530","3","platná",
"Z201934453","2.12.2019 9:43:46","43885306","Interiéry Riljak, s.r.o.","Slovenská republika","9216,500","20,000","11059,800","4","platná",
"Z201934453","2.12.2019 7:16:39","47479256","HELAGO-SK, s. r. o. ","Slovenská republika","9195,000","20,000","11034,000","1","platná",
"Z201934460","2.12.2019 9:06:14","43902138","WARGAS s.r.o. ","Slovenská republika","3384,900","20,000","4061,880","1","platná",
"Z201935114","2.12.2019 9:55:04","47459514","IJK - CONSULTING, s. r. o.","Slovenská republika","91899,990","20,000","110279,990","1","platná",
"Z201935331","3.12.2019 9:27:17","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","12600,000","10,000","13860,000","1","platná",
"Z201935596","2.12.2019 7:59:43","31589561","VIDRA a spol. s.r.o.","Slovenská republika","7047,500","20,000","8457,000","2","platná",
"Z201935596","2.12.2019 8:19:14","47719150","Perfect Distribution a. s. - organizačná zložka","Slovenská republika","7367,300","","8450,000","1","platná",
"Z201935642","3.12.2019 8:54:30","32627211","Tibor Varga TSV PAPIER","Slovenská republika","7117,400","20,000","8540,880","2","platná",
"Z201935642","3.12.2019 0:46:33","31331131","Štatistické a evidenčné vydavateľstvo tlačív, a.s.","Slovenská republika","7117,490","20,000","8540,990","3","platná",
"Z201935642","3.12.2019 7:58:07","31628605","Xepap, spol. s r. o.","Slovenská republika","7117,150","20,000","8540,580","1","platná",
"Z201935717","2.12.2019 12:12:33","37212931","Henrich Sonnenschein - ITSK","Slovenská republika","3049,910","20,000","3659,890","2","platná",
"Z201935757","1.12.2019 20:19:32","36040461","TENEX SERVIS s.r.o.","Slovenská republika","416,000","20,000","499,200","1","platná",
"Z201935757","2.12.2019 8:04:44","34101110","BETRIX, s.r.o.","Slovenská republika","416,490","20,000","499,790","2","platná",
"Z201936105","3.12.2019 13:29:05","31681051","MEVA-SK s.r.o. Rožňava","Slovenská republika","1740,000","20,000","2088,000","1","platná",
"Z201936119","2.12.2019 10:08:24","31607896","ARNET, s.r.o. ","Slovenská republika","5040,000","20,000","6048,000","1","platná",
"Z201936119","2.12.2019 11:35:30","37212931","Henrich Sonnenschein - ITSK","Slovenská republika","5049,910","20,000","6059,890","4","platná",
"Z201936136","2.12.2019 10:37:39","37212931","Henrich Sonnenschein - ITSK","Slovenská republika","217250,420","20,000","260700,500","3","platná",
"Z201936136","2.12.2019 10:57:13","35826304","SOFTLINE SERVICES, a. s. ","Slovenská republika","217250,000","20,000","260700,000","2","platná",
"Z201936136","2.12.2019 10:12:08","35692715","AGEM Computers, spol. s r. o.","Slovenská republika","217200,000","20,000","260640,000","1","platná",
"Z201936179","3.12.2019 8:30:08","35692715","AGEM Computers, spol. s r. o.","Slovenská republika","218260,000","20,000","261912,000","1","platná",
"Z201936199","2.12.2019 8:14:19","47719150","Perfect Distribution a. s. - organizačná zložka","Slovenská republika","23315,830","20,000","27979,000","2","platná",
"Z201936199","2.12.2019 8:21:54","31342213","ECOLAB s.r.o.","Slovenská republika","23315,800","20,000","27978,960","1","platná",
"Z201936208","1.12.2019 8:41:43","41751477","Martin Gall - MG COMP","Slovenská republika","29750,000","20,000","35700,000","1","platná",
"Z201936208","2.12.2019 8:18:05","37212931","Henrich Sonnenschein - ITSK","Slovenská republika","29755,810","20,000","35706,970","2","platná",
