"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20196679","1.3.2019 11:40:09","43818030","DD21 s.r.o.","Slovenská republika","2583,320","20,000","3099,980","5","platná",
"Z20196679","2.3.2019 23:42:10","43798608","nanoTECH s.r.o.","Slovenská republika","2583,000","20,000","3099,600","2","platná",
"Z20196679","4.3.2019 9:21:47","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","2558,330","20,000","3070,000","1","platná",
"Z20196692","1.3.2019 10:46:13","31386555","Izomedact, spol. s r.o. ","Slovenská republika","1439,900","10,000","1583,890","1","platná",
"Z20196692","1.3.2019 8:24:31","35887117","Roche Slovensko, s.r.o.","Slovenská republika","1440,000","10,000","1584,000","2","platná",
"Z20196694","1.3.2019 15:40:43","36565334","SCHETELIG CE s.r.o.","Slovenská republika","1457,500","20,000","1749,000","1","platná",
"Z20196699","4.3.2019 7:05:34","17485100","Miroslav Šimko SIMEX","Slovenská republika","980,970","20,000","1177,170","3","platná",
"Z20196700","4.3.2019 8:32:44","35835401","Diversey Slovensko, s.r.o.","Slovenská republika","1200,000","20,000","1440,000","2","platná",
"Z20196700","4.3.2019 10:12:58","47719150","Perfect Distribution a. s. - organizačná zložka","Slovenská republika","1199,000","20,000","1438,800","1","platná",
"Z20196701","4.3.2019 10:03:58","35815256","Slovenský plynárenský priemysel, a.s.","Slovenská republika","24978,130","20,000","29973,760","1","platná",
"Z20196701","1.3.2019 16:12:09","45860637","MET Slovakia, a.s.","Slovenská republika","24984,160","20,000","29980,990","2","platná",
"Z20196701","4.3.2019 10:50:16","35743565","MAGNA ENERGIA a.s.","Slovenská republika","24990,430","20,000","29988,520","4","platná",
"Z20196701","4.3.2019 12:14:49","43860125","Pow-en a.s.","Slovenská republika","24990,000","20,000","29988,000","3","platná",
"Z20196704","4.3.2019 10:24:40","35743565","MAGNA ENERGIA a.s.","Slovenská republika","80819,590","20,000","96983,510","4","platná",
"Z20196706","4.3.2019 11:08:51","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","20522,390","10,000","22574,630","1","platná",
"Z20196708","4.3.2019 11:22:24","32627211","Tibor Varga TSV PAPIER","Slovenská republika","146,200","20,000","175,440","2","platná",
"Z20196711","1.3.2019 17:10:42","51217368","Eurokomp group s. r. o.","Slovenská republika","96650,000","20,000","115980,000","1","platná",
"Z20196714","4.3.2019 9:45:19","51026414","JNL s.r.o.","Slovenská republika","354,900","20,000","425,880","1","platná",
"Z20196720","4.3.2019 11:49:43","35693487","Hermes LabSystems, s.r.o.","Slovenská republika","56681,500","20,000","68017,800","1","platná",
"Z20196722","4.3.2019 10:47:50","00692069","LYNX - spoločnosť s ručením obmedzeným Košice","Slovenská republika","31500,000","20,000","37800,000","2","platná",
"Z20196725","4.3.2019 7:40:13","31320911","PHARMA GROUP, a.s. ","Slovenská republika","14444,990","20,000","17333,990","1","platná",
"Z20196739","1.3.2019 10:03:42","35195827","Marián Juhás MRJ","Slovenská republika","3124,000","20,000","3748,800","2","platná",
"Z20196742","1.3.2019 17:02:14","22679057","Viliam Turan TURANCAR","Slovenská republika","2150,000","20,000","2580,000","2","platná",
"Z20196742","4.3.2019 9:29:26","46088369","RENAR SLOVAKIA, s.r.o.","Slovenská republika","2149,000","20,000","2578,800","1","platná",
"Z20196748","1.3.2019 11:38:46","43818030","DD21 s.r.o.","Slovenská republika","5833,320","20,000","6999,980","4","platná",
"Z20196748","4.3.2019 7:42:21","35755989","LASER servis, spol. s.r.o. ","Slovenská republika","5833,220","20,000","6999,860","2","platná",
"Z20196748","4.3.2019 13:16:27","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","5833,000","20,000","6999,600","1","platná",
"Z20196748","4.3.2019 12:14:00","31344194","JURIGA spol. s r. o.","Slovenská republika","5833,310","20,000","6999,970","3","platná",
