"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z202011700","1.7.2020 13:05:10","44494254","BEBA plus s.r.o.","Slovenská republika","11490,000","20,000","13788,000","2","platná",
"Z202011700","2.7.2020 8:35:27","36245089","Mobilier Design s.r.o.","Slovenská republika","11489,000","20,000","13786,800","1","platná",
"Z202011700","2.7.2020 9:57:42","47188049","DREVONA INTERIORS s.r.o.","Slovenská republika","11491,500","20,000","13789,800","4","platná",
"Z202011700","2.7.2020 11:30:17","36022331","NABIMEX, s.r.o.","Slovenská republika","11491,950","20,000","13790,340","5","platná",
"Z202013082","1.7.2020 8:15:43","31720943","Steeling, s.r.o.","Slovenská republika","2849,000","20,000","3418,800","2","platná",
"Z202013082","1.7.2020 14:47:00","45479534","ZLINER s.r.o.","Česká republika","2845,000","","2845,000","1","platná",
"Z202013769","1.7.2020 8:48:52","31622666","EXIMA, spol. s r. o. ","Slovenská republika","26540,000","20,000","31848,000","9","platná",
"Z202013769","1.7.2020 8:49:45","47539461","BovaChem s. r. o.","Slovenská republika","24500,000","20,000","29400,000","4","platná",
"Z202013769","1.7.2020 9:28:22","31589952","TRADENET s.r.o.","Slovenská republika","24100,000","20,000","28920,000","2","platná",
"Z202013769","1.7.2020 9:43:46","36800767","PIFox, s.r.o","Slovenská republika","24875,000","20,000","29850,000","","stiahnutá",
"Z202013769","1.7.2020 9:52:40","36800767","PIFox, s.r.o","Slovenská republika","24583,330","20,000","29500,000","","stiahnutá",
"Z202013769","1.7.2020 9:58:31","36800767","PIFox, s.r.o","Slovenská republika","24083,330","20,000","28900,000","1","platná",
"Z202013769","1.7.2020 9:58:32","36427969","FLORIAN, s.r.o.","Slovenská republika","24150,000","20,000","28980,000","3","platná",
"Z202013847","1.7.2020 9:02:24","36413186","GASTROLUX, s.r.o","Slovenská republika","9947,000","20,000","11936,400","11","platná",
"Z202013847","2.7.2020 9:49:33","44526075","ROAX s.r.o.","Slovenská republika","8632,000","20,000","10358,400","1","platná",
"Z202013847","2.7.2020 9:57:45","10948007","Vladimír Reguly IBIS SERVICE","Slovenská republika","9916,000","20,000","11899,200","10","platná",
"Z202013848","1.7.2020 13:41:10","51888181","GoWELD, s.r.o.","Slovenská republika","2730,000","20,000","3276,000","3","platná",
"Z202013848","2.7.2020 8:39:40","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","2774,900","20,000","3329,880","8","platná",
"Z202013848","2.7.2020 8:50:55","43818030","DD21 s.r.o.","Slovenská republika","2774,580","20,000","3329,500","7","platná",
"Z202013848","2.7.2020 8:56:06","36426041","PC SEMA, s.r.o.","Slovenská republika","2100,000","20,000","2520,000","1","platná",
"Z202013848","1.7.2020 20:58:33","52255093","EXPO Sk s. r. o.","Slovenská republika","2720,000","20,000","3264,000","2","platná",
"Z202013881","1.7.2020 9:59:23","45329478","ŠTÝL EU s.r.o.","Slovenská republika","148,000","20,000","177,600","2","platná",
"Z202013884","1.7.2020 8:38:28","31628605","Xepap, spol. s r. o.","Slovenská republika","3799,350","20,000","4559,220","4","platná",
"Z202013884","1.7.2020 9:16:02","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","3799,330","20,000","4559,200","3","platná",
"Z202013905","1.7.2020 17:48:24","33768897","PhDr. Gabriela Spišáková - Majster Papier","Slovenská republika","889,000","20,000","1066,800","2","platná",
