"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z202311912","12/1/2023 7:02:12 AM","34113924","MED - ART, spol. s r.o.","Slovenská republika","14342.250","10.000","15776.480","1","platná",
"Z202313066","12/8/2023 8:07:33 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","9779.590","10.000","10757.550","2","platná",
"Z202313066","12/8/2023 8:24:16 AM","34113924","MED - ART, spol. s r.o.","Slovenská republika","9779.580","10.000","10757.540","1","platná",
"Z202313151","12/1/2023 9:53:06 AM","36270687","Xtra Slovakia s.r.o.","Slovenská republika","42800.000","20.000","51360.000","1","platná",
"Z202313151","12/1/2023 1:49:04 AM","47589582","Netta s.r.o.","Slovenská republika","44584.000","20.000","53500.800","6","platná",
"Z202313151","12/1/2023 9:35:49 AM","35789719","Gekkon s.r.o.","Slovenská republika","44590.000","20.000","53508.000","7","platná",
"Z202313262","12/4/2023 4:52:44 PM","43798608","nanoTECH s.r.o.","Slovenská republika","1404.160","20.000","1684.990","6","platná",
"Z202313262","12/4/2023 11:05:34 PM","35843136","OfficeLand, s.r.o.","Slovenská republika","1400.000","20.000","1680.000","1","platná",
"Z202313262","12/11/2023 9:12:33 AM","32627211","Tibor Varga TSV PAPIER","Slovenská republika","1404.000","20.000","1684.800","4","platná",
"Z202313262","12/11/2023 9:36:34 AM","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","1403.870","20.000","1684.650","3","platná",
"Z202313262","12/8/2023 3:32:18 PM","31344194","JURIGA spol. s r. o.","Slovenská republika","1404.150","20.000","1684.980","5","platná",
"Z202313262","12/11/2023 8:54:39 AM","31331131","Štatistické a evidenčné vydavateľstvo tlačív, a.s.","Slovenská republika","1400.010","20.000","1680.010","2","platná",
"Z202313412","12/1/2023 2:17:38 PM","36483745","UEZ s.r.o.","Slovenská republika","670.160","20.000","804.190","1","platná",
"Z202313412","12/4/2023 12:46:06 AM","53688813","Dreamtex, s.r.o.","Slovenská republika","6700.000","20.000","8040.000","2","platná",
"Z202313412","12/3/2023 10:45:28 PM","36174874","KONIMPEX, spoločnosť s ručením obmedzeným","Slovenská republika","6704.900","20.000","8045.880","4","platná",
"Z202313412","12/2/2023 5:23:41 PM","36022331","NABIMEX, s.r.o.","Slovenská republika","6704.000","20.000","8044.800","3","platná",
"Z202313432","12/1/2023 9:52:25 AM","44801777","TOWDY s. r. o.","Slovenská republika","60.000","20.000","72.000","1","platná",
"Z202313445","12/4/2023 3:14:48 PM","14268035","Vladimír Janičina ELKO","Slovenská republika","2858.000","20.000","3429.600","1","platná",
"Z202313452","12/8/2023 9:57:30 AM","36435694","WOOD ENERGY, s.r.o.","Slovenská republika","66300.000","20.000","79560.000","1","platná",
"Z202313524","12/4/2023 1:34:20 PM","36265144","MEGAWASTE SLOVAKIA s.r.o.","Slovenská republika","66998.900","20.000","80398.680","2","platná",
"Z202313524","12/4/2023 1:07:04 PM","36435694","WOOD ENERGY, s.r.o.","Slovenská republika","66998.000","20.000","80397.600","1","platná",
"Z202313546","12/1/2023 9:12:19 AM","10948007","Vladimír Reguly IBIS SERVICE","Slovenská republika","9100.000","20.000","10920.000","1","platná",
"Z202313553","12/1/2023 10:53:58 AM","00643581","TERRASTROJ spol. s r.o.","Slovenská republika","83900.000","20.000","100680.000","1","platná",
"Z202313561","12/1/2023 7:41:17 AM","31571697","GLOBUS spol. s r.o.","Slovenská republika","6139.190","20.000","7367.030","1","platná",
"Z202313596","12/4/2023 9:27:33 AM","32627211","Tibor Varga TSV PAPIER","Slovenská republika","21137.500","20.000","25365.000","2","platná",
"Z202313596","12/4/2023 8:15:19 AM","31331131","Štatistické a evidenčné vydavateľstvo tlačív, a.s.","Slovenská republika","21137.550","20.000","25365.060","3","platná",
"Z202313606","12/1/2023 8:29:27 AM","35815256","Slovenský plynárenský priemysel, a.s.","Slovenská republika","86600.000","20.000","103920.000","1","platná",
"Z202313607","12/1/2023 8:32:13 AM","35815256","Slovenský plynárenský priemysel, a.s.","Slovenská republika","94652.850","20.000","113583.420","2","platná",
"Z202313607","12/1/2023 9:22:56 AM","50060872","MVM CEEnergy Slovakia s.r.o.","Slovenská republika","92657.090","20.000","111188.510","1","platná",
"Z202313608","12/3/2023 9:50:54 PM","47035242","REVIZ-DETVA s.r.o.","Slovenská republika","916.640","20.000","1099.970","1","platná",
"Z202313615","12/1/2023 11:43:09 AM","47354232","ALINEA s.r.o.","Slovenská republika","11490.000","20.000","13788.000","1","platná",
"Z202313615","12/1/2023 9:48:29 AM","43959954","KORAKO plus, s. r. o.","Slovenská republika","11589.990","20.000","13907.990","5","platná",
"Z202313615","12/1/2023 10:28:03 AM","34138811","PRO - HAND, s.r.o.","Slovenská republika","11500.000","20.000","13800.000","2","platná",
"Z202313621","12/1/2023 9:29:58 AM","31641440","KOBIT-SK, s. r. o.","Slovenská republika","4583.000","20.000","5499.600","3","platná",
"Z202313626","12/4/2023 7:28:12 AM","26979675","NVB LINE s.r.o.","Česká republika","1751.000","20.000","2101.200","1","platná",
"Z202313626","12/1/2023 1:09:27 PM","36000124","HAKOM, s.r.o., ","Slovenská republika","1752.000","20.000","2102.400","2","platná",
"Z202313626","12/4/2023 8:18:05 AM","31628541","SATES, a.s.","Slovenská republika","1754.000","20.000","2104.800","3","platná",
"Z202313629","12/1/2023 7:06:58 AM","36369365","TOMIRTECH, s. r. o.","Slovenská republika","600.000","20.000","720.000","1","platná",
"Z202313639","12/4/2023 3:08:28 PM","35728311","AUTOPOLIS, a.s.","Slovenská republika","18707.920","20.000","22449.500","1","platná",
"Z202313650","12/1/2023 10:35:22 AM","36396222","AUTOCONT s.r.o.","Slovenská republika","138999.990","20.000","166799.990","4","platná",
"Z202313650","12/1/2023 10:49:33 AM","31410952","MICROCOMP - Computersystém s r.o.","Slovenská republika","138000.000","20.000","165600.000","1","platná",
"Z202313650","12/1/2023 10:13:31 AM","35743468","Gratex International, a.s.","Slovenská republika","138980.000","20.000","166776.000","2","platná",
"Z202313651","12/4/2023 3:11:53 PM","35728311","AUTOPOLIS, a.s.","Slovenská republika","18707.920","20.000","22449.500","1","platná",
"Z202313653","12/4/2023 3:16:30 PM","35728311","AUTOPOLIS, a.s.","Slovenská republika","18180.090","20.000","21816.110","1","platná",
"Z202313655","12/1/2023 5:03:15 PM","31319823","Todos Bratislava s.r.o.","Slovenská republika","41790.000","20.000","50148.000","1","platná",
"Z202313656","12/1/2023 5:04:24 PM","31319823","Todos Bratislava s.r.o.","Slovenská republika","41790.000","20.000","50148.000","1","platná",
"Z202313657","12/1/2023 8:56:16 AM","41751477","Martin Gall - MG COMP","Slovenská republika","5918.330","20.000","7102.000","1","platná",
"Z202313662","12/1/2023 8:11:07 AM","45329478","ŠTÝL EU s.r.o.","Slovenská republika","207.500","20.000","249.000","1","platná",
"Z202313663","12/1/2023 1:38:37 PM","18049401","AG NÁRADIE - AGRODEAL, s.r.o.","Slovenská republika","3255.000","20.000","3906.000","3","platná",
"Z202313663","12/1/2023 1:59:36 PM","35745207","COMSIT BRATISLAVA s.r.o.","Slovenská republika","3250.000","20.000","3900.000","2","platná",
"Z202313663","12/1/2023 12:10:25 PM","50963791","FERMAT SK s.r.o.","Slovenská republika","2713.300","20.000","3255.960","1","platná",
"Z202313663","12/1/2023 1:57:05 PM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","3256.700","20.000","3908.040","4","platná",
"Z202313666","12/4/2023 11:46:33 AM","31719236","Domäsko s.r.o.","Slovenská republika","19854.900","","22699.980","2","platná",
"Z202313666","12/4/2023 5:35:08 PM","36473219","CIMBAĽÁK s.r.o.","Slovenská republika","20055.000","","22700.000","3","platná",
"Z202313672","12/1/2023 3:47:54 PM","50676229","Smart Home Invest, s.r.o.","Slovenská republika","1065.000","20.000","1278.000","","stiahnutá",
"Z202313672","12/1/2023 3:49:48 PM","50676229","Smart Home Invest, s.r.o.","Slovenská republika","1278.000","20.000","1533.600","2","platná",
"Z202313672","12/3/2023 1:26:28 PM","52313662","VQ services s. r. o.","Slovenská republika","1277.000","20.000","1532.400","1","platná",
"Z202313676","12/2/2023 2:25:56 PM","50687115","HENRYSO, s.r.o.","Slovenská republika","507.610","20.000","609.130","1","platná",
"Z202313676","12/1/2023 8:42:07 AM","51055724","GIEGO s.r.o.","Slovenská republika","507.710","20.000","609.250","3","platná",
"Z202313677","12/1/2023 7:58:53 AM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","348.900","20.000","418.680","2","platná",
"Z202313680","12/1/2023 9:43:02 AM","53706587","LIsyst s.r.o.","Slovenská republika","2832.990","20.000","3399.590","3","platná",
"Z202313680","12/1/2023 12:29:44 PM","35837594","VM Telecom, s. r. o.","Slovenská republika","2832.000","20.000","3398.400","1","platná",
"Z202313680","12/1/2023 9:13:03 AM","36428817","TurTel s.r.o.","Slovenská republika","2832.500","20.000","3399.000","2","platná",
"Z202313681","12/6/2023 2:52:52 PM","35710357","KANAL M.P.S. s.r.o.","Slovenská republika","7989.200","20.000","9587.040","1","platná",
"Z202313682","12/1/2023 2:18:49 PM","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","738.500","20.000","886.200","1","platná",
"Z202313684","12/8/2023 2:50:34 PM","31717802","INTRAVENA s.r.o.","Slovenská republika","1382.500","10.000","1520.750","1","platná",
"Z202313685","12/1/2023 8:46:51 AM","46157921","DUŠO s. r. o.","Slovenská republika","3907.500","20.000","4689.000","1","platná",
"Z202313688","12/1/2023 1:48:46 PM","31344194","JURIGA spol. s r. o.","Slovenská republika","758.000","20.000","909.600","2","platná",
"Z202313688","12/1/2023 3:06:44 PM","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","757.900","20.000","909.480","1","platná",
"Z202313690","12/1/2023 8:50:21 AM","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","694.450","20.000","833.340","1","platná",
"Z202313691","12/1/2023 8:36:44 AM","46491091","CIBEX, s.r.o.","Slovenská republika","665.000","20.000","798.000","1","platná",
"Z202313693","12/1/2023 4:23:51 PM","52696871","MIPA MI, s.r.o.","Slovenská republika","3915.000","20.000","4698.000","1","platná",
"Z202313694","12/4/2023 10:14:36 PM","50687115","HENRYSO, s.r.o.","Slovenská republika","1833.100","20.000","2199.720","5","platná",
"Z202313694","12/1/2023 2:41:22 PM","53706587","LIsyst s.r.o.","Slovenská republika","1833.280","20.000","2199.940","6","platná",
