"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z201913457","2.5.2019 11:15:36","34113924","MED - ART, spol. s r.o.","Slovenská republika","1259,990","10,000","1385,990","1","platná",
"Z201913457","2.5.2019 8:40:41","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","1260,000","10,000","1386,000","2","platná",
"Z201913460","2.5.2019 8:42:37","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","810,000","10,000","891,000","2","platná",
"Z201913460","2.5.2019 11:17:12","34113924","MED - ART, spol. s r.o.","Slovenská republika","809,990","10,000","890,990","1","platná",
"Z201913636","2.5.2019 9:51:41","31331131","Štatistické a evidenčné vydavateľstvo tlačív, a.s.","Slovenská republika","9912,860","20,000","11895,430","2","platná",
"Z201913636","2.5.2019 9:59:46","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","9912,500","20,000","11895,000","1","platná",
"Z201913757","2.5.2019 7:48:51","51017156","ČECHOVO SK, s.r.o.","Slovenská republika","6865,000","20,000","8238,000","1","platná",
"Z201913799","2.5.2019 9:13:35","51270692","Ing. Soňa Štofová SOPAS","Slovenská republika","6984,000","","6984,000","3","platná",
"Z201913799","2.5.2019 9:09:31","50293893","Škola.sk, s. r. o.","Slovenská republika","5815,000","20,000","6978,000","1","platná",
"Z201913799","2.5.2019 9:19:39","44860820","Complete Solutions, s.r.o.","Slovenská republika","5819,900","20,000","6983,880","2","platná",
"Z201913864","1.5.2019 22:30:36","36556050","ITSK, s.r.o.","Slovenská republika","169,990","20,000","203,990","2","platná",
"Z201913864","2.5.2019 6:09:58","44099207","ETHOS Technology, s.r.o.","Slovenská republika","169,000","20,000","202,800","1","platná",
