"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z2025190","3/3/2025 3:05:15 PM","45405701","KASSORIA, s.r.o.","Slovenská republika","14200.630","","16756.750","1","platná",
"Z2025647","3/3/2025 8:56:21 AM","52406679","Ltd Trade s. r. o.","Slovenská republika","676.480","23.000","832.070","1","platná",
"Z2025651","3/2/2025 7:48:29 PM","31720943","Steeling, s.r.o.","Slovenská republika","870.000","23.000","1070.100","1","platná",
"Z2025652","3/1/2025 10:47:46 AM","46874879","HGV Parts s.r.o.","Slovenská republika","1008.000","23.000","1239.840","1","platná",
"Z2025652","3/2/2025 7:49:30 PM","31720943","Steeling, s.r.o.","Slovenská republika","1009.800","23.000","1242.060","2","platná",
"Z2025657","3/4/2025 2:19:51 PM","36322229","ROTEX ELEKTRO s.r.o.","Slovenská republika","3700.000","23.000","4551.000","1","platná",
"Z2025657","3/3/2025 1:34:14 PM","14268035","Vladimír Janičina ELKO","Slovenská republika","3800.000","23.000","4674.000","2","platná",
"Z2025660","3/3/2025 2:49:36 PM","35800437","STERIPAK s.r.o.","Slovenská republika","30268.000","23.000","37229.640","1","platná",
"Z2025662","3/3/2025 1:20:31 PM","47681331","EUREX MEDICA, spol. s r.o.","Česká republika","50889.000","20.000","61066.800","2","platná",
"Z2025662","3/4/2025 8:19:57 AM","47719150","Perfect Distribution a. s. - organizačná zložka","Slovenská republika","50880.000","23.000","62582.400","1","platná",
"Z2025675","3/3/2025 12:28:11 PM","43959954","KORAKO, s. r. o.","Slovenská republika","7813.000","23.000","9609.990","5","platná",
"Z2025675","3/1/2025 6:36:52 PM","31347525","MAJSTER PAPIER, s.r.o.","Slovenská republika","7755.000","23.000","9538.650","2","platná",
"Z2025676","3/3/2025 2:44:33 PM","26931664","DAMEDIS, s.r.o.","Česká republika","1316.440","23.000","1619.220","6","platná",
"Z2025676","3/3/2025 4:26:12 PM","56402163","Thein Slovakia, s. r. o.","Slovenská republika","1316.400","23.000","1619.170","4","platná",
"Z2025676","3/3/2025 8:07:49 PM","44925417","DRUCKER s.r.o.","Slovenská republika","1300.000","23.000","1599.000","1","platná",
"Z2025676","3/4/2025 7:57:47 AM","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","1300.100","23.000","1599.120","2","platná",
"Z2025676","3/3/2025 9:46:57 AM","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","1349.140","20.000","1618.970","","stiahnutá",
"Z2025678","3/4/2025 9:40:30 AM","53014766","GDGC s. r. o.","Slovenská republika","4060.000","23.000","4993.800","3","platná",
"Z2025678","3/4/2025 9:30:54 AM","43959954","KORAKO, s. r. o.","Slovenská republika","4065.030","23.000","4999.990","4","platná",
"Z2025678","3/1/2025 6:47:33 PM","31347525","MAJSTER PAPIER, s.r.o.","Slovenská republika","4065.040","23.000","5000.000","5","platná",
"Z2025678","3/4/2025 7:55:15 AM","36227901","BANCHEM, s.r.o.","Slovenská republika","4000.000","23.000","4920.000","2","platná",
"Z2025679","3/3/2025 8:29:37 PM","51312832","abaWood, s.r.o.","Slovenská republika","6700.000","23.000","8241.000","1","platná",
"Z2025680","3/2/2025 9:21:15 PM","35872161","Miele s.r.o.","Slovenská republika","4830.000","23.000","5940.900","1","platná",
"Z2025683","3/3/2025 10:04:39 AM","52406679","Ltd Trade s. r. o.","Slovenská republika","6048.780","23.000","7440.000","5","platná",
"Z2025684","3/3/2025 11:41:22 AM","43808115","M.P.Trade, spol. s r. o.","Slovenská republika","900.000","23.000","1107.000","1","platná",
"Z2025685","3/3/2025 2:53:12 PM","43808115","M.P.Trade, spol. s r. o.","Slovenská republika","800.000","23.000","984.000","1","platná",
"Z2025685","3/3/2025 12:26:40 PM","35969938","SIGI TRADE, s. r. o.","Slovenská republika","807.000","23.000","992.610","2","platná",
"Z2025691","3/4/2025 10:13:19 AM","03796876","Waldera s.r.o.","Česká republika","3115.000","23.000","3831.450","1","platná",
"Z2025692","3/3/2025 1:09:40 PM","31727077","RENOJAVA s.r.o.","Slovenská republika","2800.000","23.000","3444.000","3","platná",
"Z2025692","3/3/2025 10:11:24 PM","36539457","H-COLOR, spol.s.r.o.","Slovenská republika","2749.500","23.000","3381.890","1","platná",
"Z2025692","3/3/2025 8:23:46 PM","52700763","RAMOTECH s. r. o.","Slovenská republika","2750.000","23.000","3382.500","2","platná",
"Z2025693","3/3/2025 12:33:22 PM","45329478","ŠTÝL EU s.r.o.","Slovenská republika","1589.840","23.000","1955.500","2","platná",
"Z2025693","3/3/2025 11:10:14 AM","36827011","TABAČIK - PRIEMTO s. r. o.","Slovenská republika","1580.000","23.000","1943.400","1","platná",
"Z2025696","3/4/2025 2:50:35 PM","36373583","SCP PAPIER, a. s.","Slovenská republika","26399.000","23.000","32470.770","1","platná",
"Z2025698","3/1/2025 12:12:01 PM","46952691","ZAMA interiér s.r.o.","Slovenská republika","5105.000","23.000","6279.150","6","platná",
"Z2025698","3/4/2025 11:25:57 AM","53252632","Octopol s.r.o.","Slovenská republika","6137.000","","6137.000","2","platná",
"Z2025698","3/4/2025 10:09:52 AM","48279447","BONTEC, s.r.o.","Slovenská republika","4990.000","23.000","6137.700","3","platná",
"Z2025698","3/4/2025 11:23:49 AM","36483745","UEZ s.r.o.","Slovenská republika","5040.650","23.000","6200.000","4","platná",
"Z2025698","3/3/2025 9:31:24 AM","52913805","Marián Hucík - Kika Wood","Slovenská republika","5104.000","23.000","6277.920","5","platná",
"Z2025700","3/3/2025 8:45:24 AM","31607896","ARNET, s.r.o. ","Slovenská republika","2000.000","23.000","2460.000","1","platná",
"Z2025700","3/5/2025 8:55:19 AM","36556050","ITSK, s.r.o.","Slovenská republika","2053.910","23.000","2526.310","5","platná",
"Z2025700","3/4/2025 2:27:07 PM","56402163","Thein Slovakia, s. r. o.","Slovenská republika","2052.900","23.000","2525.070","3","platná",
"Z2025700","3/3/2025 10:03:02 AM","41751477","Martin Gall - MG COMP","Slovenská republika","2010.000","23.000","2472.300","2","platná",
"Z2025702","3/3/2025 10:59:42 AM","31347525","MAJSTER PAPIER, s.r.o.","Slovenská republika","309.000","23.000","380.070","1","platná",
"Z2025702","3/3/2025 7:41:19 AM","50146688","EKOS - partner s.r.o.","Slovenská republika","312.000","23.000","383.760","2","platná",
"Z2025704","3/3/2025 7:19:48 PM","31720943","Steeling, s.r.o.","Slovenská republika","3925.000","23.000","4827.750","2","platná",
"Z2025704","3/4/2025 6:50:00 AM","32529597","Štefan Nagy - FAN – AUTO","Slovenská republika","3279.980","23.000","4034.380","1","platná",
