"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20251061","4/3/2025 8:00:14 AM","50146688","EKOS - partner s.r.o.","Slovenská republika","32000.000","23.000","39360.000","3","platná",
"Z20251061","4/3/2025 9:04:57 AM","52700763","RAMOTECH s. r. o.","Slovenská republika","31951.000","23.000","39299.730","2","platná",
"Z20251061","4/3/2025 9:30:56 AM","44783892","Trend Hygiena, s.r.o.","Slovenská republika","32249.200","23.000","39666.520","4","platná",
"Z20251061","4/3/2025 9:31:54 AM","47815507","VISI INVEST s. r. o.","Slovenská republika","31900.000","23.000","39237.000","1","platná",
"Z20251122","4/1/2025 3:13:49 PM","52414418","I SEE IT, s.r.o.","Slovenská republika","100000.000","23.000","123000.000","6","platná",
"Z20251122","4/1/2025 3:25:55 PM","36597767","eSOLUTIONS s.r.o.","Slovenská republika","99990.000","23.000","122987.700","4","platná",
"Z20251122","4/1/2025 6:12:10 PM","50700308","CSFIT s.r.o.","Slovenská republika","99995.000","23.000","122993.850","5","platná",
"Z20251122","4/2/2025 9:02:41 PM","47907266","Altrinia s. r. o.","Slovenská republika","99950.000","23.000","122938.500","3","platná",
"Z20251122","4/7/2025 11:53:16 AM","47060476","KOLAS s. r. o.","Slovenská republika","99899.000","23.000","122875.770","2","platná",
"Z20251122","4/7/2025 11:54:09 AM","45427232","omnius s. r. o.","Slovenská republika","99800.000","23.000","122754.000","1","platná",
"Z20251128","4/1/2025 9:31:13 AM","46675477","LM reklama s.r.o.","Slovenská republika","932.000","23.000","1146.360","1","platná",
"Z20251129","4/2/2025 8:41:41 AM","36556050","ITSK, s.r.o.","Slovenská republika","2194.910","23.000","2699.740","5","platná",
"Z20251129","4/1/2025 2:13:27 PM","31347525","MAJSTER PAPIER, s.r.o.","Slovenská republika","2180.000","23.000","2681.400","1","platná",
"Z20251129","4/1/2025 8:46:00 PM","50282026","Woodensky SK,s.r.o","Slovenská republika","2194.330","23.000","2699.030","3","platná",
"Z20251131","4/1/2025 8:43:21 PM","50282026","Woodensky SK,s.r.o","Slovenská republika","2230.900","23.000","2744.010","1","platná",
"Z20251131","4/2/2025 9:46:22 AM","36556050","ITSK, s.r.o.","Slovenská republika","2230.910","23.000","2744.020","2","platná",
"Z20251132","4/2/2025 9:35:38 AM","08834784","YMMOT s.r.o.","Česká republika","1083.000","23.000","1332.090","1","platná",
"Z20251132","4/1/2025 8:44:04 PM","50282026","Woodensky SK,s.r.o","Slovenská republika","1083.900","23.000","1333.200","2","platná",
