"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","VstupnaPonuka","Platna",
"Z20238809","9/4/2023 7:47:39 AM","31641440","KOBIT-SK, s. r. o.","Slovenská republika","16021.00","20.00","19225.20","1","False","True",
"Z20238811","9/4/2023 8:52:23 AM","31641440","KOBIT-SK, s. r. o.","Slovenská republika","209892.00","20.00","251870.40","1","False","True",
"Z20238906","9/4/2023 5:23:32 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","28384.99","10.00","31223.49","","True","False",
"Z20238906","9/4/2023 6:50:21 AM","34113924","MED - ART, spol. s r.o.","Slovenská republika","28384.98","10.00","31223.48","3","True","True",
"Z20238906","9/4/2023 7:16:28 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","28300.00","10.00","31130.00","","False","False",
"Z20238906","9/4/2023 7:17:14 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","28200.00","10.00","31020.00","","False","False",
"Z20238906","9/4/2023 7:17:43 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","28000.00","10.00","30800.00","","False","False",
"Z20238906","9/4/2023 7:18:40 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","27900.00","10.00","30690.00","","False","False",
"Z20238906","9/4/2023 7:19:23 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","27500.00","10.00","30250.00","","False","False",
"Z20238906","9/4/2023 7:19:37 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","27400.00","10.00","30140.00","","False","False",
"Z20238906","9/4/2023 7:20:35 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","27000.00","10.00","29700.00","","False","False",
"Z20238906","9/4/2023 7:20:56 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","26900.00","10.00","29590.00","","False","False",
"Z20238906","9/4/2023 7:21:28 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","26500.00","10.00","29150.00","","False","False",
"Z20238906","9/4/2023 7:21:46 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","26000.00","10.00","28600.00","","False","False",
"Z20238906","9/4/2023 7:22:08 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","25500.00","10.00","28050.00","","False","False",
"Z20238906","9/4/2023 7:22:28 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","25000.00","10.00","27500.00","","False","False",
"Z20238906","9/4/2023 7:22:49 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","24500.00","10.00","26950.00","","False","False",
"Z20238906","9/4/2023 7:23:23 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","24000.00","10.00","26400.00","","False","False",
"Z20238906","9/4/2023 7:23:43 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","23500.00","10.00","25850.00","","False","False",
"Z20238906","9/4/2023 7:24:05 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","23000.00","10.00","25300.00","","False","False",
"Z20238906","9/4/2023 7:24:20 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","22500.00","10.00","24750.00","","False","False",
"Z20238906","9/4/2023 7:25:02 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","22000.00","10.00","24200.00","","False","False",
"Z20238906","9/4/2023 7:26:39 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","21500.00","10.00","23650.00","","False","False",
"Z20238906","9/4/2023 7:27:02 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","21000.00","10.00","23100.00","","False","False",
"Z20238906","9/4/2023 7:27:18 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","20500.00","10.00","22550.00","","False","False",
"Z20238906","9/4/2023 7:28:05 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","20000.00","10.00","22000.00","","False","False",
"Z20238906","9/4/2023 7:28:20 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","19500.00","10.00","21450.00","","False","False",
"Z20238906","9/4/2023 7:28:33 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","19000.00","10.00","20900.00","","False","False",
"Z20238906","9/4/2023 7:29:08 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","18500.00","10.00","20350.00","","False","False",
"Z20238906","9/4/2023 7:29:23 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","18000.00","10.00","19800.00","","False","False",
"Z20238906","9/4/2023 7:29:38 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","17500.00","10.00","19250.00","","False","False",
"Z20238906","9/4/2023 7:30:01 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","17000.00","10.00","18700.00","","False","False",
"Z20238906","9/4/2023 7:30:15 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","16500.00","10.00","18150.00","","False","False",
"Z20238906","9/4/2023 7:30:56 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","16000.00","10.00","17600.00","","False","False",
"Z20238906","9/4/2023 7:31:10 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","15500.00","10.00","17050.00","","False","False",
"Z20238906","9/4/2023 7:31:54 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","15000.00","10.00","16500.00","","False","False",
"Z20238906","9/4/2023 7:32:07 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","14500.00","10.00","15950.00","","False","False",
"Z20238906","9/4/2023 7:32:40 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","14000.00","10.00","15400.00","","False","False",
"Z20238906","9/4/2023 7:33:28 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","13500.00","10.00","14850.00","","False","False",
"Z20238906","9/4/2023 7:34:01 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","13000.00","10.00","14300.00","","False","False",
"Z20238906","9/4/2023 7:34:30 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","12800.00","10.00","14080.00","","False","False",
"Z20238906","9/4/2023 7:35:00 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","12700.00","10.00","13970.00","","False","False",
"Z20238906","9/4/2023 7:35:19 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","12600.00","10.00","13860.00","","False","False",
"Z20238906","9/4/2023 7:35:58 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","12500.00","10.00","13750.00","","False","False",
"Z20238906","9/4/2023 7:36:12 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","12300.00","10.00","13530.00","","False","False",
"Z20238906","9/4/2023 7:36:47 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","12200.00","10.00","13420.00","","False","False",
"Z20238906","9/4/2023 7:37:03 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","12000.00","10.00","13200.00","","False","False",
"Z20238906","9/4/2023 7:37:19 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","11900.00","10.00","13090.00","","False","False",
"Z20238906","9/4/2023 7:37:57 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","11700.00","10.00","12870.00","","False","False",
"Z20238906","9/4/2023 7:38:16 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","11600.00","10.00","12760.00","","False","False",
"Z20238906","9/4/2023 7:38:50 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","11400.00","10.00","12540.00","","False","False",
"Z20238906","9/4/2023 7:39:03 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","11000.00","10.00","12100.00","","False","False",
"Z20238906","9/4/2023 7:39:20 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","10800.00","10.00","11880.00","","False","False",
"Z20238906","9/4/2023 7:39:38 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","10500.00","10.00","11550.00","","False","False",
"Z20238906","9/4/2023 7:39:53 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","10300.00","10.00","11330.00","","False","False",
"Z20238906","9/4/2023 7:40:06 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","10000.00","10.00","11000.00","","False","False",
"Z20238906","9/4/2023 7:40:51 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","9900.00","10.00","10890.00","","False","False",
"Z20238906","9/4/2023 7:41:17 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","9800.00","10.00","10780.00","","False","False",
"Z20238906","9/4/2023 7:41:32 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","9700.00","10.00","10670.00","","False","False",
"Z20238906","9/4/2023 7:41:55 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","9600.00","10.00","10560.00","","False","False",
"Z20238906","9/4/2023 7:42:06 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","9500.00","10.00","10450.00","","False","False",
"Z20238906","9/4/2023 7:42:24 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","9400.00","10.00","10340.00","","False","False",
"Z20238906","9/4/2023 7:42:37 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","9300.00","10.00","10230.00","","False","False",
"Z20238906","9/4/2023 7:42:58 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","9000.00","10.00","9900.00","","False","False",
"Z20238906","9/4/2023 7:43:15 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","8900.00","10.00","9790.00","","False","False",
"Z20238906","9/4/2023 7:43:29 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","8500.00","10.00","9350.00","","False","False",
"Z20238906","9/4/2023 7:43:53 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","8400.00","10.00","9240.00","","False","False",
"Z20238906","9/4/2023 7:44:08 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","8000.00","10.00","8800.00","","False","False",
"Z20238906","9/4/2023 7:44:23 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","7900.00","10.00","8690.00","","False","False",
"Z20238906","9/4/2023 7:44:37 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","7500.00","10.00","8250.00","","False","False",
"Z20238906","9/4/2023 7:44:53 AM","31717802","INTRAVENA s.r.o.","Slovenská republika","7400.00","10.00","8140.00","","False","False",
