"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","VstupnaPonuka","Platna",
"Z2025215","2/3/2025 8:17:08 AM","35738219","AXASOFT, a. s.","Slovenská republika","89998.90","0.00","89998.90","","True","False",
"Z2025215","2/3/2025 11:16:50 AM","53528654","Up Déjeuner, s. r. o.","Slovenská republika","89990.00","0.00","89990.00","","False","False",
"Z2025215","2/3/2025 11:18:20 AM","56214863","fpoho s.r.o.","Slovenská republika","89981.00","0.00","89981.00","","False","False",
"Z2025215","2/3/2025 11:18:52 AM","53528654","Up Déjeuner, s. r. o.","Slovenská republika","89972.00","0.00","89972.00","","False","False",
"Z2025215","2/3/2025 11:19:22 AM","56214863","fpoho s.r.o.","Slovenská republika","89963.00","0.00","89963.00","","False","False",
"Z2025215","2/3/2025 11:19:48 AM","53528654","Up Déjeuner, s. r. o.","Slovenská republika","89954.00","0.00","89954.00","4","False","True",
"Z2025215","2/3/2025 11:20:49 AM","56214863","fpoho s.r.o.","Slovenská republika","89945.00","0.00","89945.00","","False","False",
"Z2025215","2/3/2025 11:22:09 AM","52005551","Ticket Service, s.r.o.","Slovenská republika","89901.00","0.00","89901.00","","False","False",
"Z2025215","2/3/2025 11:22:54 AM","56214863","fpoho s.r.o.","Slovenská republika","89900.00","0.00","89900.00","","False","False",
"Z2025215","2/3/2025 11:23:25 AM","52005551","Ticket Service, s.r.o.","Slovenská republika","89870.00","0.00","89870.00","","False","False",
"Z2025215","2/3/2025 11:23:52 AM","56214863","fpoho s.r.o.","Slovenská republika","89864.00","0.00","89864.00","","False","False",
"Z2025215","2/3/2025 11:24:27 AM","52005551","Ticket Service, s.r.o.","Slovenská republika","89799.00","0.00","89799.00","","False","False",
"Z2025215","2/3/2025 11:25:07 AM","56214863","fpoho s.r.o.","Slovenská republika","89792.00","0.00","89792.00","","False","False",
"Z2025215","2/3/2025 11:34:08 AM","52005551","Ticket Service, s.r.o.","Slovenská republika","89790.00","0.00","89790.00","","False","False",
"Z2025215","2/3/2025 11:34:31 AM","56214863","fpoho s.r.o.","Slovenská republika","89783.00","0.00","89783.00","","False","False",
"Z2025215","2/3/2025 11:34:37 AM","35738219","AXASOFT, a. s.","Slovenská republika","89780.00","0.00","89780.00","","False","False",
