"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","VstupnaPonuka","Platna",
"Z20251182","4/1/2025 7:29:05 AM","31563490","Ryba Žilina, spol. s r.o.","Slovenská republika","34990.00","19.00","41638.10","5","True","True",
"Z20251182","4/1/2025 11:05:42 AM","36473219","CIMBAĽÁK s.r.o.","Slovenská republika","34452.94","19.00","40999.00","","True","False",
"Z20251182","4/1/2025 12:42:35 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","34445.38","19.00","40990.00","","False","False",
"Z20251182","4/1/2025 12:43:21 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","34369.75","19.00","40900.00","","False","False",
"Z20251182","4/1/2025 12:43:50 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","34285.71","19.00","40800.00","","False","False",
"Z20251182","4/1/2025 12:44:48 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","34033.61","19.00","40500.00","","False","False",
"Z20251182","4/1/2025 12:45:43 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","33613.45","19.00","40000.00","","False","False",
"Z20251182","4/1/2025 12:46:13 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","33193.28","19.00","39500.00","","False","False",
"Z20251182","4/1/2025 12:46:38 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","32773.11","19.00","39000.00","","False","False",
"Z20251182","4/1/2025 12:46:56 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","32352.94","19.00","38500.00","","False","False",
"Z20251182","4/1/2025 12:47:16 PM","53728068","HPSW, s.r.o.","Slovenská republika","36665.71","5.00","38499.00","","False","False",
"Z20251182","4/1/2025 12:47:26 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","31932.77","19.00","38000.00","","False","False",
"Z20251182","4/1/2025 12:47:40 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","31512.61","19.00","37500.00","","False","False",
"Z20251182","4/1/2025 12:47:52 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","31092.44","19.00","37000.00","","False","False",
"Z20251182","4/1/2025 12:48:14 PM","53728068","HPSW, s.r.o.","Slovenská republika","35237.14","5.00","36999.00","","False","False",
"Z20251182","4/1/2025 12:48:22 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","30924.37","19.00","36800.00","","False","False",
"Z20251182","4/1/2025 12:48:34 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","30840.34","19.00","36700.00","","False","False",
"Z20251182","4/1/2025 12:48:48 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","30672.27","19.00","36500.00","","False","False",
"Z20251182","4/1/2025 12:49:03 PM","53728068","HPSW, s.r.o.","Slovenská republika","34284.76","5.00","35999.00","","False","False",
"Z20251182","4/1/2025 12:49:29 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","30168.07","19.00","35900.00","","False","False",
"Z20251182","4/1/2025 12:49:42 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","30000.00","19.00","35700.00","","False","False",
"Z20251182","4/1/2025 12:50:12 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","29831.93","19.00","35500.00","","False","False",
"Z20251182","4/1/2025 12:50:23 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","29663.87","19.00","35300.00","","False","False",
"Z20251182","4/1/2025 12:50:34 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","29579.83","19.00","35200.00","","False","False",
"Z20251182","4/1/2025 12:50:45 PM","53728068","HPSW, s.r.o.","Slovenská republika","33332.38","5.00","34999.00","","False","False",
"Z20251182","4/1/2025 12:51:01 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","29327.73","19.00","34900.00","","False","False",
"Z20251182","4/1/2025 12:51:12 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","29243.70","19.00","34800.00","","False","False",
"Z20251182","4/1/2025 12:51:39 PM","53728068","HPSW, s.r.o.","Slovenská republika","33047.62","5.00","34700.00","","False","False",
"Z20251182","4/1/2025 12:51:54 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","29075.63","19.00","34600.00","","False","False",
"Z20251182","4/1/2025 12:52:14 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28991.60","19.00","34500.00","","False","False",
"Z20251182","4/1/2025 12:52:25 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28907.56","19.00","34400.00","","False","False",
"Z20251182","4/1/2025 12:52:36 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28823.53","19.00","34300.00","","False","False",
"Z20251182","4/1/2025 12:52:47 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28739.50","19.00","34200.00","","False","False",
"Z20251182","4/1/2025 12:52:59 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28655.46","19.00","34100.00","","False","False",
"Z20251182","4/1/2025 12:53:09 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28571.43","19.00","34000.00","","False","False",
"Z20251182","4/1/2025 12:53:20 PM","53728068","HPSW, s.r.o.","Slovenská republika","32380.00","5.00","33999.00","","False","False",
"Z20251182","4/1/2025 12:53:35 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28487.39","19.00","33900.00","","False","False",
"Z20251182","4/1/2025 12:53:42 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28445.38","19.00","33850.00","","False","False",
"Z20251182","4/1/2025 12:54:00 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28403.36","19.00","33800.00","","False","False",
"Z20251182","4/1/2025 12:54:12 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28361.34","19.00","33750.00","","False","False",
"Z20251182","4/1/2025 12:54:23 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28319.33","19.00","33700.00","","False","False",
"Z20251182","4/1/2025 12:54:45 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28277.31","19.00","33650.00","","False","False",
"Z20251182","4/1/2025 12:54:54 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28235.29","19.00","33600.00","","False","False",
"Z20251182","4/1/2025 12:55:13 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28193.28","19.00","33550.00","","False","False",
"Z20251182","4/1/2025 12:55:29 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28151.26","19.00","33500.00","","False","False",
"Z20251182","4/1/2025 12:55:52 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28109.24","19.00","33450.00","","False","False",
"Z20251182","4/1/2025 12:56:03 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","28067.23","19.00","33400.00","","False","False",
"Z20251182","4/1/2025 12:56:14 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","28025.21","19.00","33350.00","","False","False",
"Z20251182","4/1/2025 12:56:23 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","27983.19","19.00","33300.00","","False","False",
"Z20251182","4/1/2025 12:56:34 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","27941.18","19.00","33250.00","","False","False",
"Z20251182","4/1/2025 12:56:52 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","27899.16","19.00","33200.00","","False","False",
"Z20251182","4/1/2025 12:56:58 PM","53728068","HPSW, s.r.o.","Slovenská republika","31427.62","5.00","32999.00","","False","False",
"Z20251182","4/1/2025 12:57:18 PM","36019208","INMEDIA, spol. s r.o.","Slovenská republika","27647.06","19.00","32900.00","","False","False",
"Z20251182","4/1/2025 12:58:01 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","27563.03","19.00","32800.00","","False","False",
"Z20251182","4/1/2025 12:58:21 PM","53728068","HPSW, s.r.o.","Slovenská republika","31047.62","5.00","32600.00","","False","False",
"Z20251182","4/1/2025 12:58:36 PM","50208853","A.P.S. – FOOD s.r.o.","Slovenská republika","27352.94","19.00","32550.00","","False","False",
"Z20251182","4/1/2025 12:59:04 PM","53728068","HPSW, s.r.o.","Slovenská republika","30999.05","5.00","32549.00","","False","False",
