"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201827000","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/189925","Pozitívne","2.1.2020 9:10:12","","","Východoslovenská energetika a.s.","44483767","Slovenská republika",
"Z201829479","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/192404","Pozitívne","2.1.2020 8:17:14","","","S&T Slovakia s.r.o.","31349935","Slovenská republika",
"Z201845501","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/208426","Pozitívne","6.1.2020 16:34:58","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z201848146","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/211071","Pozitívne","6.1.2020 16:29:56","","","Východoslovenská energetika a.s.","44483767","Slovenská republika",
"Z201849243","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/212168","Pozitívne","2.1.2020 14:31:21","","","BCF s.r.o.","36597007","Slovenská republika",
"Z201850390","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/213315","Pozitívne","2.1.2020 14:48:58","","","MILK-AGRO, spol. s r.o.","17147786","Slovenská republika",
"Z201852383","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/215308","Pozitívne","2.1.2020 13:29:24","","","SLOVAKIA MEDICAL, s.r.o.","31385265","Slovenská republika",
"Z201852457","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/215382","Pozitívne","6.1.2020 22:34:13","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201852885","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/215810","Pozitívne","2.1.2020 10:24:23","","","MED - solutions s. r. o.","50434900","Slovenská republika",
"Z201854533","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/217458","Pozitívne","3.1.2020 6:03:25","","","OTIS Výťahy, s.r.o.","35683929","Slovenská republika",
"Z201855259","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/218184","Pozitívne","2.1.2020 15:01:26","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z201856220","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/219145","Pozitívne","3.1.2020 6:40:03","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z201857480","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/220405","Pozitívne","2.1.2020 14:20:16","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z2019915","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/221483","Uspokojivé","3.1.2020 6:24:42","","","ELTODO SK, a. s.","46924388","Slovenská republika",
"Z20191570","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/222138","Uspokojivé","2.1.2020 11:35:41","","","KOMPLEX-odpadová spoločnosť, s.r.o.","34100644","Slovenská republika",
"Z201915998","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/236566","Uspokojivé","2.1.2020 10:07:06","","","HYCA s.r.o.","35900008","Slovenská republika",
"Z201916816","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/237384","Uspokojivé","2.1.2020 14:27:34","","","Liana Jesenská","41836952","Slovenská republika",
