"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201519534","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/19898","Pozitívne","10.5.2018 11:11:01","","","Športfinal s.r.o.","44149671","Slovenská republika",
"Z201525043","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/25407","Pozitívne","10.5.2018 11:13:31","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201525855","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/26219","Pozitívne","10.5.2018 9:22:46","","","TOWDY s. r. o.","44801777","Slovenská republika",
"Z201527663","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/28027","Pozitívne","10.5.2018 11:12:57","","","ENERGA Slovakia s. r. o. ","36362727","Slovenská republika",
"Z201530169","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/30533","Pozitívne","10.5.2018 11:12:07","","","GFCH spol. s r.o.","00614521","Slovenská republika",
"Z201535860","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/36224","Pozitívne","7.5.2018 7:45:05","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201540819","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/41183","Pozitívne","4.5.2018 9:59:18","","","BONUL, s.r.o.","36528170","Slovenská republika",
"Z201661","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/42425","Pozitívne","9.5.2018 13:56:04","","","FISgroup ASSET, spol. s r.o.","44496788","Slovenská republika",
"Z2016647","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/43011","Pozitívne","7.5.2018 4:52:59","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20161448","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/43812","Pozitívne","9.5.2018 13:56:55","","","STAVBY Nitra, s.r.o.","36763977","Slovenská republika",
"Z20162632","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/44996","Pozitívne","7.5.2018 7:14:39","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z20162925","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/45289","Pozitívne","11.5.2018 6:37:54","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z20163302","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/45666","Pozitívne","7.5.2018 6:07:36","","","Vlastimil Šiška LESTECH","33674515","Slovenská republika",
"Z20164515","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/46879","Pozitívne","7.5.2018 6:08:32","","","PAK-INVEST, s.r.o.","36754579","Slovenská republika",
"Z20165196","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/47560","Pozitívne","9.5.2018 8:47:56","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20166069","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48433","Pozitívne","11.5.2018 9:39:15","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z20166072","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48436","Pozitívne","10.5.2018 9:03:19","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z20166104","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48468","Pozitívne","10.5.2018 8:52:51","","","DCX spol. s r.o.","47133694","Slovenská republika",
"Z20166154","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48518","Pozitívne","10.5.2018 8:45:30","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z20166290","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48654","Pozitívne","9.5.2018 9:06:38","","","VEMEX ENERGO s.r.o.","35853441","Slovenská republika",
"Z20166634","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48998","Pozitívne","7.5.2018 8:26:01","","","Ing. Jaroslav Marinica-MARINI","37533924","Slovenská republika",
"Z20166993","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/49357","Pozitívne","9.5.2018 9:06:56","","","DION invest, s.r.o.","45231851","Slovenská republika",
"Z20167543","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/49907","Pozitívne","7.5.2018 7:05:10","","","Roche Slovensko, s.r.o.","35887117","Slovenská republika",
"Z20167707","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/50071","Pozitívne","9.5.2018 7:23:24","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20167834","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/50198","Pozitívne","7.5.2018 7:06:15","","","Roche Slovensko, s.r.o.","35887117","Slovenská republika",
"Z20167873","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/50237","Pozitívne","7.5.2018 7:07:20","","","Roche Slovensko, s.r.o.","35887117","Slovenská republika",
"Z201624099","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/66463","Pozitívne","9.5.2018 7:19:30","","","Ing. Branislav Kovaľ - BRAKON","34655000","Slovenská republika",
"Z201628911","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/71275","Negatívne","3.5.2018 5:24:34","","Dodávateľ nedodal predmet zmluvy v rozsahu uvedenom v zmluve","ITSK, s.r.o.","36556050","Slovenská republika",
"Z201630353","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/72717","Pozitívne","7.5.2018 11:28:04","","","AGROTEM-PULZ, .s.r.o.","36399281","Slovenská republika",
"Z201636260","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/78624","Pozitívne","7.5.2018 20:11:29","","","Energie2, a.s.","46113177","Slovenská republika",
"Z201637517","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/79881","Pozitívne","7.5.2018 20:14:28","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201638695","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/81059","Pozitívne","9.5.2018 5:56:11","","","Martin Gall - MG COMP","41751477","Slovenská republika",
"Z201640513","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/82877","Pozitívne","2.5.2018 12:51:12","","","EMM, spol. s r.o.","17316260","Slovenská republika",
"Z201641368","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/83732","Pozitívne","7.5.2018 5:52:12","","","KONNEX s.r.o. ","17639727","Slovenská republika",
"Z201644530","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/86894","Pozitívne","7.5.2018 11:28:36","","","KONNEX s.r.o. ","17639727","Slovenská republika",
"Z201645861","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/88225","Pozitívne","7.5.2018 11:27:35","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z201647034","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/89398","Negatívne","9.5.2018 8:33:41","","Dodávateľ nedodal predmet zmluvy v kvalite požadovanej podľa zmluvy","SEHOS PLUS s. r. o. ","46979760","Slovenská republika",
"Z201647522","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/89886","Pozitívne","2.5.2018 12:59:29","","","Groupama poisťovňa a. s., pobočka poisťovne z iného členského štátu","47236060","Slovenská republika",
