"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z20172369","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/94201","Pozitívne","6.4.2021 4:11:46","","","BENESTRA, s. r. o.","46303502","Slovenská republika",
"Z20186785","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/169710","Pozitívne","7.4.2021 7:56:02","","","MEDIS Nitra, spol. s r.o.","36531774","Slovenská republika",
"Z20188947","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/171872","Pozitívne","7.4.2021 7:52:31","","","OFFICE DEPOT s.r.o.","36192384","Slovenská republika",
"Z20189030","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/171955","Pozitívne","7.4.2021 7:49:16","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z201828475","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/191400","Pozitívne","6.4.2021 8:42:52","","","Lamitec, spol. s r.o.","35710691","Slovenská republika",
"Z201843420","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/206345","Pozitívne","6.4.2021 6:11:18","","","LEON global s.r.o.","36284238","Slovenská republika",
"Z201846078","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/209003","Pozitívne","7.4.2021 12:44:02","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201845940","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/208865","Pozitívne","7.4.2021 12:49:05","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201849680","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/212605","Pozitívne","1.4.2021 9:18:24","","","PANEP s.r.o.","25550250","Česká republika",
"Z201851050","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/213975","Pozitívne","7.4.2021 9:26:17","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201854575","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/217500","Pozitívne","5.4.2021 6:27:29","","","KOSIT a.s.","36205214","Slovenská republika",
"Z20194158","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/224726","Uspokojivé","6.4.2021 10:06:38","","","INTES Poprad, s.r.o.","36449814","Slovenská republika",
"Z20196940","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/227508","Uspokojivé","6.4.2021 8:42:47","","","MGP, spol. s r.o.","00684023","Slovenská republika",
"Z20197806","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/228374","Uspokojivé","6.4.2021 6:10:02","","","KSR - Kameňolomy SR, s.r.o.","31559123","Slovenská republika",
"Z20197748","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/228316","Uspokojivé","7.4.2021 11:56:45","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z20198818","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/229386","Uspokojivé","6.4.2021 11:09:29","","","WORLD COURIER SLOVAK REPUBLIC s.r.o.","35885505","Slovenská republika",
