"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201519811","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/20175","Pozitívne","2.3.2020 8:25:16","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201633963","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/76327","Pozitívne","2.3.2020 10:01:30","","","Svetlik - Design, s. r. o.","47553618","Slovenská republika",
"Z201649183","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/91547","Pozitívne","2.3.2020 7:39:54","","","EMELIX, s.r.o.","35804386","Slovenská republika",
"Z20178313","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/100145","Pozitívne","2.3.2020 8:12:41","","","K&M MEDIA s.r.o.","44879806","Slovenská republika",
"Z201717472","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/109304","Pozitívne","2.3.2020 8:17:43","","","TRIPSY s.r.o.","36276464","Slovenská republika",
"Z201719361","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/111193","Pozitívne","5.3.2020 8:30:46","","","eGroup Solutions, a. s. ","44989709","Slovenská republika",
"Z201722556","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/114388","Pozitívne","2.3.2020 14:01:54","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z201750248","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/142080","Negatívne","4.3.2020 11:34:36","","Dodávateľ nedodal predmet zmluvy v kvalite požadovanej podľa zmluvy","ITSK, s.r.o.","36556050","Slovenská republika",
"Z201759218","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/151050","Pozitívne","5.3.2020 6:12:13","","","Energie2, a.s.","46113177","Slovenská republika",
"Z201759819","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/151651","Pozitívne","2.3.2020 9:40:05","","","Ing. Vratislav Bargár","46902015","Slovenská republika",
"Z2018308","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/163233","Pozitívne","3.3.2020 12:34:09","","","PROSAM, spol. s r.o.","17317584","Slovenská republika",
"Z20181123","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/164048","Pozitívne","2.3.2020 12:42:23","","","TERAVAS, s.r.o.","50875566","Slovenská republika",
"Z20181381","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/164306","Pozitívne","3.3.2020 8:09:31","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20181404","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/164329","Pozitívne","2.3.2020 7:28:31","","","Unique Medical s. r. o.","46729429","Slovenská republika",
"Z20183056","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/165981","Pozitívne","2.3.2020 13:13:15","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z20183763","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/166688","Pozitívne","2.3.2020 9:11:07","","","STAVIVO IBV, s.r.o.","46168095","Slovenská republika",
"Z20185371","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/168296","Pozitívne","2.3.2020 13:32:22","","","Messer Tatragas, spol. s r.o.","00685852","Slovenská republika",
"Z20185416","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/168341","Pozitívne","2.3.2020 13:36:24","","","ECOLAB s.r.o.","31342213","Slovenská republika",
"Z20186962","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/169887","Pozitívne","3.3.2020 12:13:03","","","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika",
"Z20187821","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/170746","Pozitívne","2.3.2020 12:50:38","","","EBA, s.r.o.","31376134","Slovenská republika",
"Z201817674","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/180599","Pozitívne","2.3.2020 9:14:26","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201818350","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/181275","Pozitívne","2.3.2020 7:47:11","","","CENTEX RS, spol. s r.o. ","36053694","Slovenská republika",
"Z201818353","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/181278","Pozitívne","2.3.2020 7:54:34","","","AJFA + AVIS, s.r.o.","31602436","Slovenská republika",
"Z201818355","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/181280","Negatívne","2.3.2020 8:28:12","","Dodávateľ bol v nepovolenom omeškaní s dodaním predmetu zmluvy","HYDREX, s.r.o.","31633072","Slovenská republika",
"Z201824025","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/186950","Pozitívne","2.3.2020 9:18:47","","","VICOM  s.r.o.","35908076","Slovenská republika",
"Z201827352","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/190277","Pozitívne","3.3.2020 6:23:39","","","MEVA-SK s.r.o. Rožňava","31681051","Slovenská republika",
"Z201829201","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/192126","Negatívne","2.3.2020 7:34:38","","Dodávateľ nedodal predmet zmluvy na miesto / miesta plnenia uvedené v zmluve","BERTMAN s.r.o.","46255371","Slovenská republika",
"Z201836651","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/199576","Pozitívne","2.3.2020 9:18:33","","","JRK Slovensko s.r.o.","50530950","Slovenská republika",
"Z201836652","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/199577","Pozitívne","2.3.2020 9:18:00","","","UNIAGRO, s.r.o.","31643949","Slovenská republika",
"Z201841784","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/204709","Pozitívne","3.3.2020 6:55:04","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z201849875","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/212800","Pozitívne","2.3.2020 10:08:57","","","Stredoslovenská energetika, a.s.","36403008","Slovenská republika",
"Z201850486","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/213411","Pozitívne","2.3.2020 7:26:48","","","Unique Medical s. r. o.","46729429","Slovenská republika",
"Z201850613","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/213538","Pozitívne","3.3.2020 10:28:55","","","LENIA INDUS SECURITY, s. r. o.","44188391","Slovenská republika",
"Z201851537","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/214462","Pozitívne","3.3.2020 10:29:53","","","SCYLLA SECURITY SERVIS s.r.o.","46798811","Slovenská republika",
"Z201851544","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/214469","Pozitívne","3.3.2020 10:32:35","","","SPB Security s.r.o.","44626975","Slovenská republika",
"Z201851863","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/214788","Pozitívne","2.3.2020 9:24:54","","","Stredoslovenská energetika, a.s.","36403008","Slovenská republika",
"Z201853014","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/215939","Pozitívne","2.3.2020 7:51:44","","","Ultra Print, s.r.o.","31399088","Slovenská republika",
"Z201853083","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/216008","Pozitívne","2.3.2020 14:08:24","","","Topoľčianske pekárne a cukrárne, a.s.","31412408","Slovenská republika",
"Z201853118","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/216043","Pozitívne","2.3.2020 11:38:16","","","MIP, s.r.o.","31629784","Slovenská republika",
"Z201853983","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/216908","Pozitívne","2.3.2020 6:42:44","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z201854161","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/217086","Pozitívne","3.3.2020 6:56:21","","","Bio G, spol. s r.o.","34123415","Slovenská republika",
"Z201854406","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/217331","Pozitívne","2.3.2020 14:05:35","","","GRANDFOOD s.r.o.","45510121","Slovenská republika",
"Z201854410","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/217335","Pozitívne","2.3.2020 14:09:13","","","CS - FRUIT, spol. s r.o.","34126686","Slovenská republika",
