"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z20215837","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/299594","Uspokojivé","12/4/2024 8:10:21 AM","","","Redinex, spol. s r.o.","44970455","Slovenská republika",
"Z20219442","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/303199","Uspokojivé","12/3/2024 9:36:48 AM","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z202117176","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/310933","Uspokojivé","12/16/2024 7:18:14 AM","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z202117750","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/311507","Uspokojivé","12/16/2024 7:15:40 AM","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z202211063","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/330161","Uspokojivé","12/17/2024 12:23:39 PM","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z202212205","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/331303","Uspokojivé","12/17/2024 12:19:54 PM","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z202213311","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/332409","Uspokojivé","12/4/2024 7:25:45 AM","","","BIOLAHELP s.r.o.","47794755","Slovenská republika",
"Z202214275","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/333373","Uspokojivé","12/17/2024 12:19:02 PM","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z20233136","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/338091","Neuspokojivé","12/2/2024 7:59:04 AM","","Dodávateľ bol v nepovolenom omeškaní s dodaním predmetu zmluvy; Dodávateľ nedodal predmet zmluvy v kvalite požadovanej podľa zmluvy","WASCO - družstvo","48079707","Slovenská republika",
"Z20233272","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/338227","Uspokojivé","12/11/2024 9:42:04 AM","","","MITAR s.r.o. ","35688173","Slovenská republika",
"Z20234521","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/339476","Uspokojivé","12/2/2024 9:04:20 AM","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z20234955","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/339910","Uspokojivé","12/2/2024 7:21:40 AM","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z20237033","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/341988","Uspokojivé","12/11/2024 5:15:09 AM","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z20237069","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342024","Uspokojivé","12/6/2024 12:28:55 PM","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z20237252","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/342207","Uspokojivé","12/16/2024 7:19:50 AM","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z20238246","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/343201","Uspokojivé","12/12/2024 7:31:01 AM","","","CENTRALCHEM, s.r.o.","51324440","Slovenská republika",
"Z20238919","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/343874","Uspokojivé","12/3/2024 10:40:25 AM","","","ZSE Energia, a.s.","36677281","Slovenská republika",
"Z202310937","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/345892","Uspokojivé","12/4/2024 1:29:33 PM","","","RAMOTECH s. r. o.","52700763","Slovenská republika",
