"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201539032","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/39396","Pozitívne","28.10.2021 7:06:23","","","nanoTECH s.r.o.","43798608","Slovenská republika",
"Z20165285","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/47649","Pozitívne","5.10.2021 16:24:28","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201723994","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/115826","Pozitívne","6.10.2021 9:11:21","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201740355","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/132187","Pozitívne","4.10.2021 7:29:30","","","RICOH Slovakia s.r.o.","31331785","Slovenská republika",
"Z201813308","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/176233","Pozitívne","13.10.2021 6:56:10","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201838862","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/201787","Pozitívne","4.10.2021 11:47:27","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z201845084","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/208009","Pozitívne","4.10.2021 6:41:52","","","Lucia Hucíková - ŠKOLÁĆIK MAJO","47880775","Slovenská republika",
"Z201853205","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/216130","Pozitívne","4.10.2021 6:00:31","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201913687","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/234255","Uspokojivé","5.10.2021 12:20:59","","","Setop, s.r.o.","50616617","Slovenská republika",
"Z201913690","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/234258","Uspokojivé","5.10.2021 12:27:39","","","MIVASOFT, spol. s r.o.","36289906","Slovenská republika",
"Z201913693","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/234261","Uspokojivé","5.10.2021 12:28:33","","","RIZNER s. r. o.","46360379","Slovenská republika",
"Z201914473","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/235041","Uspokojivé","5.10.2021 12:29:20","","","MIVASOFT, spol. s r.o.","36289906","Slovenská republika",
"Z201919484","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/240052","Uspokojivé","4.10.2021 12:39:51","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201923291","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/243859","Uspokojivé","6.10.2021 8:06:27","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z201923713","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/244281","Uspokojivé","13.10.2021 13:34:06","","","ZET dip s. r. o.","51212706","Slovenská republika",
"Z201923712","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/244280","Uspokojivé","12.10.2021 10:33:02","","","ZET dip s. r. o.","51212706","Slovenská republika",
"Z201923711","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/244279","Uspokojivé","12.10.2021 14:38:18","","","INTEP, s.r.o.","36043613","Slovenská republika",
"Z201923709","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/244277","Uspokojivé","12.10.2021 14:39:10","","","Ľuboš Cudziš","50035151","Slovenská republika",
"Z201923707","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/244275","Uspokojivé","12.10.2021 14:41:51","","","ZET dip s. r. o.","51212706","Slovenská republika",
"Z201925090","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/245658","Uspokojivé","27.10.2021 6:09:20","","","S-EPI, s. r. o.","36014991","Slovenská republika",
"Z201925819","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/246387","Uspokojivé","7.10.2021 13:14:21","","","Lilla Púchovská - LILLA","30119413","Slovenská republika",
"Z201927100","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/247668","Uspokojivé","4.10.2021 11:51:55","","","Perfect Distribution a. s. - organizačná zložka","47719150","Slovenská republika",
"Z201927152","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/247720","Uspokojivé","4.10.2021 8:02:20","","","PHOENIX Zdravotnícke zásobovanie, a.s.","34142941","Slovenská republika",
"Z201927548","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/248116","Uspokojivé","4.10.2021 9:48:13","","","SLUŽBY - SERVIS spol. s r.o.","36579629","Slovenská republika",
"Z201927608","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/248176","Neuspokojivé","5.10.2021 8:27:53","","Dodávateľ nedodal predmet zmluvy v kvalite požadovanej podľa zmluvy","VIDRA a spol. s.r.o.","31589561","Slovenská republika",
"Z201928102","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/248670","Neuspokojivé","5.10.2021 6:33:32","","Dodávateľ nedodal predmet zmluvy v rozsahu uvedenom v zmluve","LAMA energy a.s. - organizačná zložka","45890935","Slovenská republika",
"Z201928856","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/249424","Uspokojivé","4.10.2021 7:07:02","","","ECOHolding s.r.o.","45344710","Slovenská republika",
"Z2020717","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260126","Uspokojivé","5.10.2021 6:57:33","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z20202119","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/261528","Uspokojivé","18.10.2021 9:32:48","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20203739","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/263148","Uspokojivé","22.10.2021 8:22:15","","","NICHOLTRACKT, s.r.o. ","31583466","Slovenská republika",
"Z20207466","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/266875","Uspokojivé","4.10.2021 7:28:05","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20207918","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/267327","Uspokojivé","5.10.2021 4:31:45","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z20209613","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/269022","Uspokojivé","7.10.2021 12:19:42","","","PYRA, spol. s r.o.","31396623","Slovenská republika",
"Z202011072","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/270481","Uspokojivé","6.10.2021 17:12:28","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202011569","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/270978","Uspokojivé","19.10.2021 12:40:26","","","Lohmann & Rauscher, s.r.o.","31347827","Slovenská republika",
"Z202013273","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/272682","Uspokojivé","4.10.2021 6:49:52","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202013562","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/272971","Uspokojivé","12.10.2021 7:04:55","","","EURO MEDIA Košice, s.r.o. ","31608426","Slovenská republika",
"Z202014419","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/273828","Uspokojivé","25.10.2021 7:20:43","","","A.En. Slovensko s.r.o.","36399604","Slovenská republika",
"Z202017059","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/276468","Uspokojivé","19.10.2021 12:50:06","","","MEDITRADE spol. s r.o.","17312001","Slovenská republika",
"Z202017133","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/276542","Uspokojivé","6.10.2021 9:14:35","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z202017319","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/276728","Uspokojivé","4.10.2021 10:57:03","","","Scholaris, s.r.o.","46324844","Slovenská republika",
"Z202017407","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/276816","Uspokojivé","27.10.2021 14:02:12","","","SZILCAR PARTNERS s.r.o.","47221925","Slovenská republika",
"Z202017834","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/277243","Uspokojivé","4.10.2021 8:43:56","","","GASTRO-HAAL, s.r.o. ","31435076","Slovenská republika",
"Z202018738","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/278147","Uspokojivé","4.10.2021 9:54:11","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202019016","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/278425","Uspokojivé","4.10.2021 8:30:22","","","Jakub Ilavský, s. r. o.","36326615","Slovenská republika",
"Z202019593","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/279002","Uspokojivé","4.10.2021 10:20:02","","","DATACAR, spol. s r.o.","36650811","Slovenská republika",
"Z202020096","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/279505","Uspokojivé","4.10.2021 7:05:03","","","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika",
"Z202020097","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/279506","Uspokojivé","6.10.2021 13:26:11","","","HENRYSO, s.r.o.","50687115","Slovenská republika",
"Z202020910","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280319","Uspokojivé","5.10.2021 10:38:10","","","LABO - SK, s.r.o.","36365556","Slovenská republika",
"Z202021272","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280681","Uspokojivé","4.10.2021 8:39:31","","","Rudolf Čerňan","11781386","Slovenská republika",
"Z202021322","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280731","Uspokojivé","6.10.2021 7:55:14","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202021354","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280763","Uspokojivé","5.10.2021 7:07:25","","","Metrostav DS a.s.","46120602","Slovenská republika",
"Z202020898","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280307","Uspokojivé","22.10.2021 8:35:06","","","HUVYK spol. s r.o.","31582672","Slovenská republika",
"Z202021365","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280774","Uspokojivé","6.10.2021 17:18:56","","","SEHOS PLUS s. r. o. ","46979760","Slovenská republika",
"Z202021453","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/280862","Uspokojivé","6.10.2021 9:18:41","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z202021728","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/281137","Uspokojivé","6.10.2021 9:16:39","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z202021861","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/281270","Uspokojivé","6.10.2021 8:21:49","","","SPAREX SK, spol. s r.o.","45282722","Slovenská republika",
"Z202021951","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/281360","Uspokojivé","4.10.2021 9:13:52","","","Geotronics Slovakia, s.r.o.","36356654","Slovenská republika",
