"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z20175096","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/96928","Pozitívne","7/3/2023 9:42:45 AM","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201749265","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/141097","Pozitívne","7/3/2023 11:24:17 AM","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201919784","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/240352","Uspokojivé","7/3/2023 8:16:07 AM","","","ECOHolding s.r.o.","45344710","Slovenská republika",
"Z201935555","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/256123","Uspokojivé","7/10/2023 7:38:17 AM","","","Zoltán Berner","40048098","Slovenská republika",
"Z20203300","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/262709","Uspokojivé","7/4/2023 8:15:19 AM","","","ECOHolding s.r.o.","45344710","Slovenská republika",
"Z202013344","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/272753","Uspokojivé","7/3/2023 8:43:47 AM","","","Messer Tatragas, spol. s r.o.","00685852","Slovenská republika",
"Z20214077","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/297834","Uspokojivé","7/3/2023 9:07:45 AM","","","CARSTAR SERVICE s. r. o.","36777056","Slovenská republika",
"Z20218731","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/302488","Uspokojivé","7/14/2023 2:11:25 PM","","","LABO - SK, s.r.o.","36365556","Slovenská republika",
"Z202110228","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/303985","Uspokojivé","7/21/2023 7:21:45 AM","","","TEMPEST a.s.","31326650","Slovenská republika",
"Z202110412","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/304169","Uspokojivé","7/6/2023 7:11:43 AM","","","Brantner Fatra, s.r.o.","31578861","Slovenská republika",
"Z202110679","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/304436","Uspokojivé","7/4/2023 6:03:14 AM","","","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika",
"Z202110921","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/304678","Uspokojivé","7/3/2023 8:55:35 AM","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202111406","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/305163","Uspokojivé","7/4/2023 6:01:51 AM","","","INTEC PHARMA s.r.o.","00683264","Slovenská republika",
"Z202111582","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/305339","Uspokojivé","7/4/2023 5:57:25 AM","","","Fresenius Medical Care Slovensko, spol. s r.o.","31412971","Slovenská republika",
"Z202112629","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/306386","Uspokojivé","7/4/2023 6:00:49 AM","","","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika",
"Z202112376","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/306133","Uspokojivé","7/4/2023 9:39:03 AM","","","KSR - Kameňolomy SR, s.r.o.","31559123","Slovenská republika",
"Z202112750","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/306507","Uspokojivé","7/13/2023 9:32:32 AM","","","P. M. Diesel s.r.o.","46881646","Slovenská republika",
"Z202112650","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/306407","Uspokojivé","7/10/2023 6:26:39 AM","","","Ing. Peter Gerši - GC Tech.","36880574","Slovenská republika",
"Z202113022","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/306779","Uspokojivé","7/3/2023 6:46:42 AM","","","ENERGETIKA Ružomberok, spol. s r.o.","36411060","Slovenská republika",
"Z202113209","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/306966","Uspokojivé","7/4/2023 5:54:33 AM","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z202113286","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/307043","Uspokojivé","7/4/2023 5:59:18 AM","","","BAX PHARMA, s.r.o.","35758481","Slovenská republika",
"Z202114125","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/307882","Uspokojivé","7/11/2023 11:13:37 AM","","","Ing.Róbert Križan EUROCAR","33958751","Slovenská republika",
"Z202114128","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/307885","Uspokojivé","7/11/2023 11:13:22 AM","","","Ing.Róbert Križan EUROCAR","33958751","Slovenská republika",
