"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z20153812","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/4176","Pozitívne","17.8.2017 7:14:04","","","TIMED, s.r.o. ","00602175","Slovenská republika",
"Z20154173","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/4537","Pozitívne","17.8.2017 7:15:30","","","PANEP s.r.o.","25550250","Česká republika",
"Z20155954","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/6318","Pozitívne","17.8.2017 7:17:44","","","PANEP s.r.o.","25550250","Česká republika",
"Z20156992","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/7356","Pozitívne","7.8.2017 8:50:11","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z20158264","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/8628","Pozitívne","8.8.2017 6:22:10","","","EKO TONER s.r.o.","47689650","Slovenská republika",
"Z20159238","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/9602","Pozitívne","8.8.2017 6:20:16","","","ELCOMP trade, spol. s r.o.","36333824","Slovenská republika",
"Z20159287","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/9651","Pozitívne","8.8.2017 6:21:01","","","HESO-COM s.r.o.","34111522","Slovenská republika",
"Z20159266","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/9630","Pozitívne","7.8.2017 5:20:02","","","Ing. Iveta Janíková","34559671","Slovenská republika",
"Z20159220","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/9584","Pozitívne","7.8.2017 5:19:26","","","JUMICOL, s.r.o.","36783943","Slovenská republika",
"Z201510561","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/10925","Pozitívne","30.8.2017 13:27:36","","","Insomnium, s. r. o.","46590129","Slovenská republika",
"Z201511609","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/11973","Pozitívne","7.8.2017 5:18:55","","","BANCHEM, s.r.o.","36227901","Slovenská republika",
"Z201511854","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/12218","Pozitívne","8.8.2017 6:22:54","","","PC team spol. s r.o. ","36009750","Slovenská republika",
"Z201512757","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/13121","Pozitívne","7.8.2017 4:54:52","","","MGP, spol. s r.o.","00684023","Slovenská republika",
"Z201514168","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/14532","Pozitívne","7.8.2017 4:50:01","","","MEDLINE MEDICA SLOVAKIA, s.r.o.","35727578","Slovenská republika",
"Z201515369","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/15733","Pozitívne","10.8.2017 7:38:17","","","Wolters Kluwer s. r. o.","31348262","Slovenská republika",
"Z201517199","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/17563","Pozitívne","7.8.2017 6:58:34","","","Auto Gábriel, s.r.o. Košice","31699090","Slovenská republika",
"Z201518803","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/19167","Pozitívne","8.8.2017 6:21:36","","","JRM Slovakia, s.r.o.","36240842","Slovenská republika",
"Z201520272","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/20636","Pozitívne","7.8.2017 7:06:58","","","Prometeus - SL s.r.o. ","36463906","Slovenská republika",
"Z201520931","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/21295","Pozitívne","1.8.2017 6:21:03","","","DF Družstvo, s.r.o.","46916105","Slovenská republika",
"Z201521214","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/21578","Pozitívne","7.8.2017 5:17:18","","","LEMAS spol. s r.o.","31616810","Slovenská republika",
"Z201521707","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/22071","Pozitívne","7.8.2017 5:18:23","","","Ing. Vladimír Hurtoš - HS INTERIÉR","34768459","Slovenská republika",
"Z201521717","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/22081","Pozitívne","17.8.2017 7:11:55","","","TIMED, s.r.o. ","00602175","Slovenská republika",
"Z201525201","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/25565","Pozitívne","7.8.2017 7:40:38","","","COOPServis, spol.s r.o. ","00655180","Slovenská republika",
"Z201528806","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/29170","Pozitívne","7.8.2017 8:11:25","","","Ing.Ján Čurný PENZIÓN ROZÁLIA","10818090","Slovenská republika",
"Z201532821","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/33185","Pozitívne","22.8.2017 6:32:13","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201535396","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/35760","Pozitívne","22.8.2017 6:43:52","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201536252","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/36616","Pozitívne","11.8.2017 14:23:16","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z201540025","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/40389","Pozitívne","7.8.2017 9:53:18","","","CWT SPORT s. r. o.","46216227","Slovenská republika",
"Z201541849","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/42213","Pozitívne","8.8.2017 6:23:33","","","HerbVitea, s. r. o.","48171191","Slovenská republika",
"Z20161185","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/43549","Pozitívne","7.8.2017 7:04:32","","","MEDICAL GROUP SK a. s.","31708030","Slovenská republika",
"Z20161190","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/43554","Pozitívne","7.8.2017 7:05:38","","","MEDICAL GROUP SK a. s.","31708030","Slovenská republika",
"Z20161196","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/43560","Pozitívne","7.8.2017 7:06:44","","","MEDICAL GROUP SK a. s.","31708030","Slovenská republika",
"Z20161662","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/44026","Pozitívne","15.8.2017 11:47:22","","","JUMICOL, s.r.o.","36783943","Slovenská republika",
"Z20162062","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/44426","Pozitívne","22.8.2017 6:33:17","","","Mikrochem Trade, spol. s r.o.","35948655","Slovenská republika",
"Z20168165","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/50529","Pozitívne","15.8.2017 11:49:23","","","LEON global s.r.o.","36284238","Slovenská republika",
"Z20168909","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/51273","Pozitívne","7.8.2017 5:03:41","","","ENERGA Slovakia s. r. o. ","36362727","Slovenská republika",
"Z20168891","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/51255","Pozitívne","7.8.2017 5:38:14","","","ENERGA Slovakia s. r. o. ","36362727","Slovenská republika",
"Z20169175","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/51539","Pozitívne","15.8.2017 11:49:49","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20169182","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/51546","Negatívne","21.8.2017 10:35:15","","Dodávateľ nedodal predmet zmluvy v kvalite požadovanej podľa zmluvy","MIVASOFT, spol. s r.o.","36289906","Slovenská republika",
"Z201610435","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/52799","Pozitívne","7.8.2017 6:16:52","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z201610994","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/53358","Pozitívne","1.8.2017 6:48:43","","","SELVIT, spol. s r.o.","36370053","Slovenská republika",
"Z201611466","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/53830","Pozitívne","7.8.2017 8:05:14","","","LE CHEQUE DEJEUNER s.r.o.","31396674","Slovenská republika",
"Z201612374","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/54738","Pozitívne","22.8.2017 6:35:48","","","ATANI, s.r.o.","31381481","Slovenská republika",
"Z201612599","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/54963","Pozitívne","7.8.2017 8:10:30","","","G A L I M E X s.r.o.","31559093","Slovenská republika",
"Z201613111","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55475","Pozitívne","17.8.2017 7:29:15","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z201613113","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55477","Pozitívne","17.8.2017 7:22:55","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z201613115","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55479","Pozitívne","17.8.2017 7:27:48","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z201613128","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55492","Pozitívne","17.8.2017 7:21:35","","","INTRAVENA s.r.o.","31717802","Slovenská republika",
"Z201613151","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55515","Pozitívne","17.8.2017 7:24:57","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z201613157","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55521","Pozitívne","17.8.2017 7:26:09","","","INTRAVENA s.r.o.","31717802","Slovenská republika",
"Z201613147","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/55511","Pozitívne","17.8.2017 7:30:40","","","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","31625657","Slovenská republika",
"Z201614466","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/56830","Pozitívne","1.8.2017 6:40:31","","","EUROMOTOR, spol. s r.o.","31561357","Slovenská republika",
"Z201614885","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/57249","Pozitívne","30.8.2017 13:16:14","","","Energy Europe, SE","47542667","Slovenská republika",
"Z201614932","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/57296","Pozitívne","17.8.2017 7:31:59","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z201614934","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/57298","Pozitívne","17.8.2017 7:33:36","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
"Z201615514","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/57878","Pozitívne","18.8.2017 12:05:50","","","SPB Security s.r.o.","44626975","Slovenská republika",
"Z201615963","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/58327","Pozitívne","30.8.2017 13:16:50","","","ENERGA Slovakia s. r. o. ","36362727","Slovenská republika",
"Z201616039","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/58403","Pozitívne","15.8.2017 6:17:30","","","IMPA Bratislava, a.s.","35731851","Slovenská republika",
"Z201616095","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/58459","Pozitívne","8.8.2017 5:18:42","","","ARNET, s.r.o. ","31607896","Slovenská republika",
"Z201616162","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/58526","Pozitívne","2.8.2017 11:58:44","","","DF Družstvo, s.r.o.","46916105","Slovenská republika",
"Z201616186","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/58550","Pozitívne","22.8.2017 11:51:25","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201616336","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/58700","Pozitívne","7.8.2017 4:39:38","","","PHARMA GROUP, a.s. ","31320911","Slovenská republika",
"Z201616724","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/59088","Pozitívne","7.8.2017 11:39:56","","","STIRILAB, s.r.o.","35853913","Slovenská republika",
"Z201616781","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/59145","Pozitívne","8.8.2017 9:00:49","","","VIDRA a spol. s.r.o.","31589561","Slovenská republika",
"Z201616917","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/59281","Pozitívne","10.8.2017 12:50:49","","","LASER servis, spol. s.r.o. ","35755989","Slovenská republika",
