"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201928928","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/249496","Uspokojivé","11/13/2024 11:29:55 AM","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z20208077","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/267486","Uspokojivé","11/5/2024 9:54:08 AM","","","JANIMEX s.r.o.","50659081","Slovenská republika",
"Z202012101","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/271510","Uspokojivé","11/13/2024 11:24:25 AM","","","Pow-en a.s.","43860125","Slovenská republika",
"Z202016090","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/275499","Uspokojivé","11/4/2024 10:42:32 AM","","","BEPOL, s.r.o.","46968318","Slovenská republika",
"Z202024789","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/284198","Uspokojivé","11/4/2024 1:31:47 PM","","","airo, s. r. o.","48286621","Slovenská republika",
"Z202029744","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/289153","Uspokojivé","11/8/2024 2:20:12 PM","","","MAGNUS COMPANY, s.r.o.","47190426","Slovenská republika",
"Z202031139","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/290548","Uspokojivé","11/5/2024 7:50:48 AM","","","LASER servis, spol. s.r.o. ","35755989","Slovenská republika",
"Z20215106","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/298863","Uspokojivé","11/7/2024 2:11:05 PM","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z202116830","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/310587","Uspokojivé","11/12/2024 10:17:34 AM","","","KRAJSPOL SK, s.r.o.","36712736","Slovenská republika",
"Z202116828","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/310585","Uspokojivé","11/12/2024 10:16:04 AM","","","AGROPARK LIPTOV, s.r.o.","50629212","Slovenská republika",
"Z202117432","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/311189","Uspokojivé","11/5/2024 7:49:45 AM","","","Ing. Peter Gerši - GC Tech.","36880574","Slovenská republika",
"Z202120544","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/314301","Uspokojivé","11/8/2024 11:10:12 AM","","","Up Déjeuner, s. r. o.","53528654","Slovenská republika",
