"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201619106","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/61470","Negatívne","2/5/2024 12:31:28 PM","","Dodávateľ nedodal predmet zmluvy v rozsahu uvedenom v zmluve","SLOVHOLDING, a.s.","31389163","Slovenská republika",
"Z201619294","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/61658","Pozitívne","2/5/2024 5:51:18 AM","","","DAAX spol. s r.o.","36804754","Slovenská republika",
"Z20176343","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/98175","Pozitívne","2/6/2024 10:12:01 AM","","","GALARMTECH s.r.o.","31727590","Slovenská republika",
"Z20178932","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/100764","Pozitívne","2/6/2024 10:13:27 AM","","","moravcik-schroner s.r.o.","47185422","Slovenská republika",
"Z201717526","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/109358","Pozitívne","2/6/2024 10:00:06 AM","","","Michal Servátka Aquel M.S Servis","44876831","Slovenská republika",
"Z201745260","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/137092","Pozitívne","2/5/2024 11:32:48 AM","","","DMC, s.r.o.","36777455","Slovenská republika",
"Z201747214","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/139046","Pozitívne","2/5/2024 11:08:28 AM","","","DAFA trans,s.r.o.","47442182","Slovenská republika",
"Z201749531","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/141363","Negatívne","2/6/2024 9:58:32 AM","","Dodávateľ bol v nepovolenom omeškaní s dodaním predmetu zmluvy","GALARMTECH s.r.o.","31727590","Slovenská republika",
"Z201750338","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/142170","Pozitívne","2/5/2024 11:39:13 AM","","","Ultra Print, s.r.o.","31399088","Slovenská republika",
"Z201751373","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/143205","Pozitívne","2/6/2024 10:14:21 AM","","","FITTICH ALARM spol. s r.o.","00634743","Slovenská republika",
