"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201924731","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/245299","Uspokojivé","11/6/2023 6:41:52 AM","","","Tibor Varga TSV PAPIER","32627211","Slovenská republika",
"Z201930221","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/250789","Uspokojivé","11/6/2023 7:03:48 AM","","","Marius Pedersen, a.s.","34115901","Slovenská republika",
"Z2020869","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260278","Uspokojivé","11/23/2023 10:05:02 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z2020870","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260279","Uspokojivé","11/23/2023 10:04:48 AM","","","MASO J+L, s.r.o.","36569194","Slovenská republika",
"Z2020871","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260280","Uspokojivé","11/23/2023 10:04:33 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z2020872","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260281","Uspokojivé","11/23/2023 10:04:14 AM","","","Bidfood Slovakia s. r. o.","34152199","Slovenská republika",
"Z2020874","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260283","Uspokojivé","11/23/2023 10:03:57 AM","","","EMATRADE s.r.o.","46954767","Slovenská republika",
"Z20202580","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/261989","Uspokojivé","11/8/2023 8:30:16 AM","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20202923","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/262332","Uspokojivé","11/24/2023 9:25:03 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20202924","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/262333","Uspokojivé","11/24/2023 9:25:18 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20202925","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/262334","Uspokojivé","11/24/2023 9:25:33 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20202926","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/262335","Uspokojivé","11/24/2023 9:25:50 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20203757","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/263166","Uspokojivé","11/24/2023 9:26:03 AM","","","MASO J+L, s.r.o.","36569194","Slovenská republika",
"Z20208148","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/267557","Uspokojivé","11/13/2023 7:53:31 AM","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z2021279","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/294036","Uspokojivé","11/23/2023 10:03:42 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z2021280","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/294037","Uspokojivé","11/23/2023 10:03:28 AM","","","MASO J+L, s.r.o.","36569194","Slovenská republika",
"Z2021282","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/294039","Uspokojivé","11/23/2023 10:03:10 AM","","","EMATRADE s.r.o.","46954767","Slovenská republika",
"Z2021283","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/294040","Uspokojivé","11/23/2023 10:02:47 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z2021284","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/294041","Uspokojivé","11/23/2023 10:02:32 AM","","","Bidfood Slovakia s. r. o.","34152199","Slovenská republika",
"Z2021285","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/294042","Uspokojivé","11/23/2023 10:02:13 AM","","","EMATRADE s.r.o.","46954767","Slovenská republika",
"Z20211578","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/295335","Uspokojivé","11/23/2023 10:01:50 AM","","","Bidfood Slovakia s. r. o.","34152199","Slovenská republika",
"Z20214538","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/298295","Uspokojivé","11/24/2023 9:27:37 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20214537","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/298294","Uspokojivé","11/24/2023 9:27:16 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20214536","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/298293","Uspokojivé","11/24/2023 9:26:54 AM","","","MASO J+L, s.r.o.","36569194","Slovenská republika",
"Z20214535","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/298292","Uspokojivé","11/24/2023 9:26:37 AM","","","INMEDIA, spol. s r.o.","36019208","Slovenská republika",
"Z20214534","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/298291","Uspokojivé","11/24/2023 9:26:21 AM","","","EMATRADE s.r.o.","46954767","Slovenská republika",
"Z202111080","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/304837","Uspokojivé","11/23/2023 10:01:13 AM","","","MASO J+L, s.r.o.","36569194","Slovenská republika",
"Z202117523","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/311280","Uspokojivé","11/21/2023 10:12:44 AM","","","CLEAN TONERY, s.r.o.","35891866","Slovenská republika",
"Z202118240","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/311997","Uspokojivé","11/6/2023 10:17:29 AM","","","TIMED, s.r.o. ","00602175","Slovenská republika",
"Z202119309","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/313066","Uspokojivé","11/8/2023 10:07:56 AM","","","MED - ART, spol. s r.o.","34113924","Slovenská republika",
