"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201759001","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/150833","Pozitívne","7.2.2022 6:48:22","","","PRESS & BURG Development s.r.o. ","46896783","Slovenská republika",
"Z201761461","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/153293","Pozitívne","7.2.2022 11:52:56","","","Slovanet, a. s. ","35954612","Slovenská republika",
"Z201769448","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/161280","Pozitívne","7.2.2022 5:45:00","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z201832736","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/195661","Pozitívne","7.2.2022 5:52:58","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z201840019","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/202944","Pozitívne","4.2.2022 10:12:48","","","EM-Tech s.r.o.","36569101","Slovenská republika",
"Z201930538","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/251106","Uspokojivé","7.2.2022 7:55:16","","","Stredoslovenská energetika, a. s.","51865467","Slovenská republika",
"Z201932533","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/253101","Uspokojivé","7.2.2022 7:49:48","","","Stredoslovenská energetika, a. s.","51865467","Slovenská republika",
"Z201933897","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/254465","Uspokojivé","7.2.2022 8:21:48","","","BCF ENERGY, s. r. o.","51966255","Slovenská republika",
"Z201935071","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/255639","Uspokojivé","7.2.2022 6:52:20","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z201935729","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/256297","Uspokojivé","7.2.2022 7:26:58","","","MAGNA ENERGIA a.s.","35743565","Slovenská republika",
"Z201936564","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/257132","Uspokojivé","7.2.2022 8:24:09","","","Slovenský plynárenský priemysel, a.s.","35815256","Slovenská republika",
"Z201936636","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/257204","Uspokojivé","4.2.2022 7:28:44","","","MET Slovakia, a.s.","45860637","Slovenská republika",
"Z201937431","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/257999","Uspokojivé","4.2.2022 10:12:00","","","EUROGASTROP s.r.o.","44137761","Slovenská republika",
"Z201938049","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/258617","Uspokojivé","7.2.2022 11:56:53","","","Up Slovensko, s. r. o.","31396674","Slovenská republika",
"Z20201369","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/260778","Uspokojivé","7.2.2022 17:48:44","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z20202247","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/261656","Uspokojivé","7.2.2022 6:13:31","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202013177","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/272586","Uspokojivé","7.2.2022 5:14:35","","","TREND SLOVAKIA, s.r.o.","35787414","Slovenská republika",
"Z202012938","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/272347","Uspokojivé","7.2.2022 12:24:23","","","Slovanet, a. s. ","35954612","Slovenská republika",
"Z202015371","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/274780","Uspokojivé","7.2.2022 9:21:25","","","A.En. Slovensko s.r.o.","36399604","Slovenská republika",
"Z202015392","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/274801","Uspokojivé","7.2.2022 8:45:50","","","MVM CEEnergy Slovakia s.r.o.","50060872","Slovenská republika",
"Z202018401","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/277810","Uspokojivé","7.2.2022 7:02:41","","","FISHER Slovakia, spol. s r.o.","36483095","Slovenská republika",
"Z202019630","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/279039","Uspokojivé","7.2.2022 6:32:43","","","PhDr. Gabriela Spišáková - Majster Papier","33768897","Slovenská republika",
"Z202021917","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/281326","Uspokojivé","7.2.2022 7:47:40","","","DOXX - Stravné lístky, spol. s r.o.","36391000","Slovenská republika",
"Z202022303","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/281712","Uspokojivé","7.2.2022 7:48:35","","","Syntex Bratislava s.r.o.","35774673","Slovenská republika",
"Z202022758","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/282167","Uspokojivé","1.2.2022 9:33:12","","","KASprof-SECURITY agency s.r.o, r.s.p","36374199","Slovenská republika",
