"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-300173","Po karanténe","Tmely, konzervačné materiály a lepidlá ","Tmely, konzervačné materiály a lepidlá","44831100-5 Tmely; 24911200-5 Spojivá; 44830000-7 Tmely, plnivá, tesniace tmely a rozpúšťadlá; 24590000-6 Silikóny v primárnych formách; 44831000-4 Tmely, plnivá, tesniace tmely; 39820000-6 Organické povrchovo aktívne prostriedky; 44831300-7 Tesniace tmely; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300173","1","0",
"OF-300174","Po karanténe","Potreby pre verejné stravovanie na jedno použitie","menu boxy , príbory, misky s vekom na polievky, plastový pohár, papierový pohár, papierové tácky, servítky, servítky farebné, miska na guláš","39222100-5 Potreby pre verejné stravovanie na jedno použitie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300174","0","0",
"OF-300179","Po karanténe","""Debarierizácia prízemia budovy gymnázia"" - interiérové vybavenie","Výškovo nastaviteľné stoly a stoličky, bezbariérové","39150000-8 Rôzny nábytok a vybavenie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300179","1","0",
"OF-300180","Po karanténe","Opravy a údržba čistiacich zariadení","oprava vysokotlakový čistič","50530000-9 Opravy a údržba strojov; 50000000-5 Opravárske a údržbárske služby","Služba; Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300180","0","0",
"OF-300181","Po karanténe","Tmely, konzervačné materiály a lepidlá","Tmely, plnivá, tesniace tmely a rozpúšťadlá, Mazivá a mazacie oleje Antikorózne oleje, Ropné oleje a prípravky, Epoxidové živice, Lepiaca páska z pogumovaných textílií","44830000-7 Tmely, plnivá, tesniace tmely a rozpúšťadlá; 44831000-4 Tmely, plnivá, tesniace tmely; 44831100-5 Tmely; 24910000-6 Gleje; 24911200-5 Spojivá","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300181","0","0",
"OF-300182","Po karanténe","Zariadenia a pomôcky na manipuláciu s materiálom","prepravný vozík, upínací pás","42415200-0 Pracovné vozíky; 44423300-4 Zariadenia na manipuláciu s tovarom; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300182","1","0",
"OF-300183","Po karanténe","Špeciálne čistiace prostriedky","odmasťovacie prostriedky, odmasťovací prípravok do umývacieho stola","39831220-4 Odmasťovacie prostriedky; 24960000-1 Rôzne chemické výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300183","0","0",
"OF-300185","Po karanténe","Prenosná nabíjacia stanica pre elektromobily","Prenosná nabíjacia stanica pre elektromobily","31158100-9 Nabíjače batérií; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300185","1","0",
"OF-300186","Po karanténe","Prenosný počítač- notebook s vybavením","notebook, počítač, myš, batoh","30213100-6 Prenosné počítače; 30237000-9 Časti a príslušenstvo počítačov a spotrebný materiál k nim; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300186","0","0",
"OF-300187","Po karanténe","Kalibrácia meradiel na meranie geometrických veličín - 31 ks","Kalibrácia, meradlo, geometrické veličiny","50433000-9 Kalibrovanie","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300187","0","0",
