"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-266219","Po karanténe","Dodanie elektrickej energie","Elektrina, dodávka elektrickej energie, distribúcia elektrickej energie","09310000-5 Elektrická energia; 65300000-6 Rozvod elektriny a súvisiace služby","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/266219","1","0",
"OF-274319","Po karanténe","Vlajky a zástavy","vlajka, zástava, držiak, stojan","35821000-5 Vlajky; 39290000-1 Rôzne vybavenie a zariadenie interiérov; 30195800-0 Závesné vešiaky alebo držiaky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/274319","0","0",
"OF-272805","Po karanténe","Stavba: Lendak - rozšírenie ČOV","Stavebné dosky a hranoly","03419000-0 Stavebné drevo/rezivo; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272805","0","0",
"OF-277426","Po karanténe","Propagačný materiál (suveníry, reklamné predmety)","suveníry, reklamné predmety, nákupná taška, tričká, perá, dáždniky, poznámkové bloky, hrnčeky,","39294100-0 Informačné a propagačné výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/277426","0","0",
"OF-277582","Po karanténe","Chirurgické obväzy - elastické ( pruban )","zdravotnícky spotrebný materiál","33141110-4 Chirurgické obväzy; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/277582","0","0",
"OF-277764","Po karanténe","Dodanie zemného plynu","plyn, dodávka plynu, distribúcia plynu","09123000-7 Zemný plyn; 65200000-5 Rozvod plynu a súvisiace služby; 50411200-1 Opravy a údržba plynomerov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/277764","1","0",
"OF-277787","Po karanténe","Web Katalog TecDoc","prístupové údaje","60000000-8 Dopravné služby (bez prepravy odpadu); 22461000-9 Katalógy; 22213000-6 Časopisy","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/277787","1","0",
"OF-277796","Po karanténe","Zdravotnícky nábytok; Rozličný nábytok","nábytok, skrine, police","33192000-2 Zdravotnícky nábytok; 39151000-5 Rozličný nábytok; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/277796","0","0",
"OF-278054","Po karanténe","Dodávka kancelárskych potrieb","kancelárske potreby","30192000-1 Kancelárske potreby; 30190000-7 Rôzne kancelárske zariadenia a kancelárske potreby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278054","1","0",
"OF-278079","Po karanténe","Elektrická energia","elektrická energia, dodávka elektrickej energie","09310000-5 Elektrická energia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278079","0","0",
"OF-278100","Po karanténe","Mobilná interaktívna zostava","Interaktívna tabuľa, projektor","30195920-7 Magnetické tabule; 38652120-7 Videoprojektory; 30195913-5 Stojany na prenosné tabule; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278100","0","0",
"OF-278128","Po karanténe","Propagačné a reklamné materiály s potlačou loga","propagačné predmety, reklamné materiály, dopravné služby","22462000-6 Propagačný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu); 39294100-0 Informačné a propagačné výrobky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278128","1","0",
"OF-278129","Po karanténe","Dodávka mäsa","Mäso na prípravu jedál","15100000-9 Živočíšne výrobky, mäso a mäsové výrobky; 15113000-3 Bravčové mäso; 15111000-9 Mäso z hovädzieho dobytka; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278129","1","0",
"OF-278132","Po karanténe","Náhradné diely do strojov na zemné práce -Volvo L 110 F","Volvo L 110 F,  náhradné diely na kolesový dozér","34913000-0 Rôzne náhradné diely; 43640000-1 Časti zariadení na zemné práce; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278132","0","0",
"OF-278133","Po karanténe","Zariadenie na tlač a tonerové náplne","tlač, zariadenie, toner","30120000-6 Zariadenia na fotokopírovanie a ofsetovú tlač; 30125100-2 Tonerové náplne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278133","0","0",
"OF-278134","Po karanténe","Dodávka notebookov s príslušenstvom a all-in-one počítačov","notebook, dokovacia stanica, all in one","60000000-8 Dopravné služby (bez prepravy odpadu); 30213100-6 Prenosné počítače; 30213300-8 Stolový počítač","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278134","1","0",
"OF-278135","Po karanténe","Tlač brožúry ","tlač, tlačiarenská služba, výroba tlače,","79810000-5 Tlačiarenské služby; 79824000-6 Tlačiarenské a distribučné služby; 79820000-8 Služby súvisiace s tlačou; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278135","0","0",
"OF-278136","Po karanténe","Kancelárske potreby","obálka, zošit, páska","30192000-1 Kancelárske potreby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278136","0","0",
"OF-278138","Po karanténe","Elektroinštalačný materiál","Zámok elektrický, dverový","44521120-5 Elektronická bezpečnostná zámka; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278138","0","0",
"OF-278140","Po karanténe","Zariadenie na zváranie","zváračka a príslušenstvo","44315100-2 Príslušenstvo na zváranie; 45262680-1 Zváranie; 42662000-4 Zváracie zariadenia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278140","1","0",
"OF-278142","Po karanténe","Zariadenia na ohrev vody a príslušenstvo","ohrievač vody","39715100-8 Elektrické prietokové alebo zásobníkové ohrievače vody a ponorné ohrievače; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278142","0","0",
"OF-278143","Po karanténe","Tonery ","toner, HP","30125000-1 Časti a príslušenstvo fotokopírovacích prístrojov; 30125120-8 Toner do fotokopírovacích strojov; 30125100-2 Tonerové náplne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/278143","1","0",
