"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-236165","Po karanténe","Prenájom informačného systému pre poskytovateľov sociálnych služieb s implementáciou - licencia do 200 klientov","informačný systém, informačné technológie, licencia, prenájom, softvér","72222300-0 Služby informačných technológií; 72263000-6 Implementácia softvéru; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/236165","1","27498,330",
"OF-239215","Po karanténe","RTG prístroj 3D + Radioviziografia","RTG prístroj 3D; 2D; Intraorálne; Radioviziografia","33111500-6 Zubné röntgeny; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/239215","0","0",
"OF-240237","Po karanténe","Strážna, bezpečnostná  a informačná služba pre areál a objekty objednávateľa","Strážna služba, bezpečnosť, stráženie, ochrana objektov, informovanie","79713000-5 Strážne služby; 79710000-4 Bezpečnostné služby; 85312310-5 Usmerňovanie","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240237","2","91407,250",
"OF-240460","Po karanténe","Tlačivá","tlačivá, tlačoviny","22000000-0 Tlačené výrobky a príbuzné produkty; 60000000-8 Dopravné služby (bez prepravy odpadu); 79810000-5 Tlačiarenské služby; 30199210-5 Neilustrované karty; 79821000-5 Konečná úprava tlače; 79800000-2 Tlačiarenské a príbuzné služby","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240460","0","0",
"OF-240683","Po karanténe","Očkovacia látka proti meningitíde séroskupiny B","Očkovacia látka, meningitída","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240683","1","90495,900",
"OF-240817","Po karanténe","Odborné prehliadky a odborné skúšky vyhradených technických zariadení plynových","Odborné prehliadky a odborné skúšky vyhradených technických zariadení plynových","65200000-5 Rozvod plynu a súvisiace služby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba; Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240817","1","3700,000",
"OF-240849","Po karanténe","Originálne príslušenstvo a spotrebný materiál  pre zdravotnícke prístroje","náhradné diely, príslušenstvo, spotrebný materiál, zdravotnícky prístroj","33100000-1 Zdravotnícke vybavenie; 33140000-3 Zdravotnícky spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240849","1","91600,000",
"OF-240906","Po karanténe","Poskytovanie komplexných, bezpečných a ekonomicky výhodných mobilných telekomunikačných služieb","mobilné hlasové služby, mobilné dátové služby, dátový program, paušál","64000000-6 Poštové a telekomunikačné služby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240906","0","0",
"OF-240953","Po karanténe","Zabezpečenie stravovania  prostredníctvom stravovacích poukážok - obdobie 3 mesiace","Stravné lístky, stravné poukážky, dodanie stravných lístkov, zabezpečenie stravovania","30199770-8 Stravné poukážky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/240953","1","52623,680",
"OF-241023","Po karanténe","Bezdrôtové sady mikrofónov Shure ULXD","Zvuk, Mixážny pult, Ozvučenie, Zvuková technika","32350000-1 Časti zvukových zariadení a videozariadení; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241023","1","6442,500",
"OF-241079","Po karanténe","Osobné ochranné pracovné prostriedky - tričká,  mikiny,  polokošele","pracovné odevy, tričká, polokošele, mikiny,","18110000-3 Pracovné odevy; 18330000-1 Tričká s krátkym rukávom (T-shirts) a košele; 18331000-8 Tričká s krátkym rukávom; 18333000-2 Polokošele; 18222000-1 Firemné odevy; 18235300-8 Tričká s dlhým rukávom; 79820000-8 Služby súvisiace s tlačou; 79340000-9 Reklamné a marketingové služby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241079","1","5119,000",
"OF-241137","Po karanténe","Zvukové  zariadenia a IKT","tablet, tlačiareň, ovládač, batéria","30200000-1 Počítačové zariadenia a spotrebný materiál; 30000000-9 Kancelárske a počítacie stroje, vybavenie a spotrebný materiál s výnimkou nábytku a softvérových balíkov; 31000000-6 Elektrické stroje, prístroje, zariadenia a spotrebný tovar; osvetlenie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241137","1","750,000",
"OF-241184","Po karanténe","Kancelárske kreslá a nábytok","Otočné kreslá, stoličky, pohovky","39113100-8 Kreslá; 39143310-2 Konferenčné stolíky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241184","1","4666,670",
"OF-241192","Po karanténe","Nákup slúchadiel","slúchadlá","30237000-9 Časti a príslušenstvo počítačov a spotrebný materiál k nim; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241192","1","171,000",
"OF-241201","Po karanténe","IKT predmety","notebook","30200000-1 Počítačové zariadenia a spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241201","1","1320,000",
"OF-241212","Po karanténe","Mikroskop trinokulár Euromex iScope IS.1153-PLi alebo ekvivalent","mikroskop","38510000-3 Mikroskopy; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/241212","1","900,000",
