"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-271912","Po karanténe","Sanitárna technika a príslušenstvo ","Sanitárne výrobky, predmety do kúpeľní a kuchýň, vodoinštalácie, sanitárne výpusty, kohúty","44411000-4 Sanitárne výrobky; 42131400-0 Sanitárne výpusty, kohúty; 44410000-7 Predmety do kúpeľní a kuchýň; 39370000-6 Vodoinštalácie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/271912","1","2332,480",
"OF-272214","Po karanténe","Zdravotnícke tlačivá  ","Zdravotnícke tlačivá, ambulatná karta, audiogram, artroskopia kolena, ambulančný list, artrogoniometria, biochemické vyšetrenie moču, biochemické vyšetrenie krvi, BIO CITO, bakteriologické vyšetrenie, dekurz, dotazník, dovolenka, hlásenie, diétna karta, chorobopis, index, kniha, lístok, kartička, lekársky predpis- správa, menštruačný kalendár, denník, návrh, objednávka, obálka, obal, osobná karta, operačný program, zázanam, objednávka liekov, príkaz na dopravu osoby, priepustka, záznam, potvrdenie, pôrodná kniha, poukaz, prihlasovací lístok, prehlásenie, chorobopis, potvrdenka, prijímací lístok, poverenie, status, registratúrny denník, rozpis, stravné lístky, spisový obal, sprievodný list, sledovanie novorodenca, evidencia pacientov, teplotná tabuľka-lístok, USG vyšetrenie,  karta, vložka, výplatné pásky, žiadanka, výdajka-prevodka, záznam","22900000-9 Rôzne tlačoviny; 30199230-1 Obálky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272214","1","34850,000",
"OF-272628","Po karanténe","Ovocie a zelenina","ovocie, zelenina, banány, citrusové plody, jablká, hrušky, hrozno, slivky, brokolica, cibuľa, kaleráb, kapusta, paradajky, paprika, mrkva, šalát, zeler, zemiaky","03220000-9 Zelenina, ovocie a orechy; 03222200-5 Citrusové plody; 03222320-2 Jablká, hrušky a dule; 03222111-4 Banány; 03222340-8 Hrozno; 03222334-3 Slivky; 03221430-9 Brokolica; 03221113-1 Cibuľa; 03221410-3 Kapusta; 03221240-0 Paradajka; 15872100-2 Paprika; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272628","1","0",
"OF-272798","Po karanténe","Základné potraviny ","trvanlivé potraviny, lekvár, kompót, oleje, cestoviny, ryža, cukor, čaj, vajcia, chuťové prísady","15890000-3 Rôzne potravinové výrobky a sušený tovar; 15330000-0 Spracované ovocie a zelenina; 15332200-6 Džemy a marmelády, ovocné želé; ovocné alebo orechové pyré a pasty/pretlaky; 15612000-1 Obilná alebo rastlinná múka a príbuzné výrobky; 15411100-3 Rastlinné oleje; 15831000-2 Cukor; 03211300-6 Ryža; 15870000-7 Koreniny a chuťové prísady; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272798","1","0",
"OF-272894","Po karanténe","Kancelárske stroje, zariadenia a príslušenstvo","skartovač, kancelárska technika","30191400-8 Skartovače; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272894","1","1149,170",
"OF-273000","Po karanténe","Nádoby na biologický odpad klinik boxy","Nádoby na biologický odpad klinik boxy","33141123-8 Nádoby na ostré predmety; 44613800-8 Kontajnery na odpadový materiál; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273000","1","2700,000",
"OF-273092","Po karanténe","Fotokoagulačný laser","laserová fotokoagulácia modrý, zelený filter, liečba sietnice","33128000-3 Lekársky laser, iný ako pre chirurgiu; 33122000-1 Oftalmologické prístroje; 33124100-6 Diagnostické prístroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273092","0","0",
"OF-273166","Po karanténe","Laserový merač ","laserový merač, merač vzdialenosti","38300000-8 Meracie prístroje; 38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273166","1","191,660",
"OF-273223","Po karanténe","Lieky ATC skupiny B01AB02","B01, antitrombín III","33621100-0 Antitrombotické činidlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273223","1","26000,000",
"OF-273282","Po karanténe","Ostatné interiérové vybavenie","kovová závesná skrinka na kľúče,  sušiak na bielizeň,  nástenné hodiny, stojanový kovový vešiak na kabáty, kúpeľňový záves, gumová vstupná rohož, nemý sluha","39151000-5 Rozličný nábytok; 39254120-4 Nástenné hodiny; 39224340-3 Koše; 39136000-4 Vešiaky na kabáty; 39532000-0 Rohože; 34928480-6 Kontajnery a nádoby na odpad a odpadky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273282","1","2137,000",
"OF-271708","Po karanténe","Veterinárne liečivá","liečivá, lieky, prípravky, veterinárne","33651690-1 Očkovacie látky pre zverolekárstvo; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/271708","0","0",
"OF-272202","Po karanténe","Čistiace a hygienické potreby","čistiace potreby, hygienické potreby","39830000-9 Čistiace výrobky","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272202","0","0",
"OF-272599","Po karanténe","Toner HP","Tonery do tlačiarne","30125110-5 Toner do laserových tlačiarní/faxových prístrojov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272599","1","45,290",
"OF-272793","Po karanténe","Stavba: Lendak - rozšírenie ČOV  - dodávka štrkodrvy","kamenivo, štrk","14212300-3 Drvený a mletý kameň; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272793","1","0",
"OF-272886","Po karanténe","Vrecká filtračné a filtre do vysávačov","vrecko bezpečnostné, uzatvárateľné, filter","39713431-3 Príslušenstvo k vysávačom prachu; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272886","1","495,000",
"OF-272999","Po karanténe","Nádoby, obaly a obalový materiál","nádoby na jedlo, odpadkové koše, vrecia na potraviny, mikrotenové vrecká, obedár, termobox, plastový kanister, plechový kanister, desiatové vrecko, alobal, papierové vrecia","34928480-6 Kontajnery a nádoby na odpad a odpadky; 39221130-7 Nádoby na jedlo; 39224340-3 Koše; 44613500-5 Kontajnery na vodu; 44619000-2 Iné kontajnery; 18930000-7 Vrecia a vaky; 18937000-6 Vrecia na balenie tovaru; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/272999","0","0",
"OF-273064","Po karanténe","Chemikálie priemyselné","destilovaná voda, posypová soľ, chemikálie, zmäkčovač vody","14410000-8 Kamenná soľ; 34927100-2 Soľ na posyp ciest; 39137000-1 Zmäkčovače vody; 24316000-2 Destilovaná voda; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273064","1","1533,330",
"OF-273165","Po karanténe","Športové vybavenie","horolezecké lano, futbalová lopta, švihadlo, dresy","39541000-6 Laná, povrazy, šnúry a sieťovina; 18412000-0 Športové odevy; 60000000-8 Dopravné služby (bez prepravy odpadu); 37451700-1 Futbalové lopty; 37441500-6 Švihadlá; 37535292-0 Laná na šplhanie; 39541100-7 Šnúry, laná a povrazy","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/273165","1","2833,330",
