"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-157755","Po karanténe","Zdravotnícky materiál ","Zdravotnícky materiál ","33141420-0 Chirurgické rukavice; 33140000-3 Zdravotnícky spotrebný materiál; 33141112-8 Náplasti; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157755","0","0",
"OF-157956","Po karanténe","Elektrospotrebiče","elektrospotrebiče, chladnička, mikrovlnná rúra, umývačka riadu, automatický kávovar","39711110-3 Chladničky s mrazničkou; 39711362-4 Mikrovlné rúry; 39713100-4 Umývačky riadu; 39711310-5 Elektrické kávovary","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157956","1","775,000",
"OF-158091","Po karanténe","Čistiace prostriedky","Rukavice GN90 bluenirile 200 ks, krém na ruky, Indulona 100 ml., červena dezinfekčná, toaletný papier Tento economy, Saniultra 10 kg, Ajax 1 l zelený, domestos 750 ml. originál, čistič na hrdzu a vodný kameň, pulirapid 500 ml. originál, Cif krém Classic, 500 ml. originál, vrecia igelitové, 50x60, 30 MY, 25 ks v balení (rolka),vrecia igelitové, 700x1100,25 ks v balení (rolka), Pflege (pronto) 250 ml., Sifo 500 g, čistič sifónu, švédska utierka 40x40 cm 205 g, hubky 10 ks/balenie, jar original 1l, vôňa citrónosviežovač vzduchu Air Wick spray 240 ml. Biele kvety frézie, bannderm 5 l (ant.mydlo s antibakter.účinkom)oxykvart 5 ks (dezinfekčný prostriedok), kvart plus-500 ml.(dezinfekcia plôch)dezinfekčný prostriedok, savo-original-1 laviváž coccolino creations 1,5 l, incidur spray 1l, bonux 6kg-na biele prádlo 80 praní, bonux 6kg-na farebné prádlo 80 pranídrôtenka na riad nerezová 2 ks/bal., handru na umývanie podlahy, mop jangel 260 g, strapcový","39831600-2 Čistiace prostriedky na toalety; 39831300-9 Čistiace prostriedky na podlahu; 33761000-2 Toaletný papier; 24455000-8 Dezinfekčné prostriedky; 39832000-3 Čistiace prostriedky na riad; 39811100-1 Osviežovač vzduchu; 39831000-6 Pracie prostriedky; 18424000-7 Rukavice","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158091","1","600,000",
"OF-158223","Po karanténe","Stolička Clinton, Stohovateľná","stolička","39112000-0 Stoličky; 39100000-3 Nábytok; 39110000-6 Sedadlá, stoličky a podobné výrobky a súvisiace časti; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158223","1","1750,000",
"OF-158288","Po karanténe","Skener Canon CanoScan 9000F Mark II","skener","30216110-0 Skenery na používanie s počítačom; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158288","1","168,000",
"OF-156802","Po karanténe","Špeciálny čistiaci, dezinfekčný prostriedok a oplachovací prostriedok","Špeciálny čistiaci, dezinfekčný prostriedok a oplachovací prostriedok","39830000-9 Čistiace výrobky; 39832000-3 Čistiace prostriedky na riad; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/156802","0","0",
"OF-157070","Po karanténe","EMG prístroj","Zdravotnícka technika, EMG ","33121300-7 Elektromyografy; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157070","0","0",
"OF-157238","Po karanténe","Kancelársky papier","Kancelársky papier,  ","30197642-8 Papier na fotokopírovanie a xerografický papier; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157238","1","9833,330",
"OF-157338","Po karanténe","Diagnostiká pre acidobazickú reguláciu","Acidobazická regulácia","33100000-1 Zdravotnícke vybavenie; 33124130-5 Diagnostický spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu); 33141625-7 Diagnostické súpravy","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157338","1","2255,220",
"OF-157355","Po karanténe","Chemikálie - kyselina trifluoroctová ","chemikálie, kyselina, trifluoroctová ","24300000-7 Základné anorganické a organické chemikálie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157355","1","224,000",
"OF-157420","Po karanténe","Laboratórne chemikálie","chemikália, laboratórium, výskum, pokus","24000000-4 Chemické výrobky; 24300000-7 Základné anorganické a organické chemikálie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157420","1","810,000",
"OF-157455","Po karanténe","Vzdelávacia aktivita zameraná na administráciu žiadostí o neprojektové opatrenia PRV 2014 - 2020 a GSAA pre kampaň 2018","vzdelávanie; ubytovanie; doprava; stravovanie","80511000-9 Školenie pracovníkov; 55120000-7 Služby na organizovanie stretnutí a konferencií v hoteloch; 98341000-5 Ubytovacie služby; 60100000-9 Služby cestnej dopravy; 55300000-3 Reštauračné služby a podávanie jedál","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157455","1","5289,740",
"OF-157817","Po karanténe","Ambrobene 30 mg alebo ekvivalent účinnej látky s identickým zložením, liekovou formou a silou		","Lieky, liečivá, prípravky proti kašľu a nachladnutiu","33674000-5 Prípravky proti kašľu a nachladnutiu; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157817","0","0",
"OF-157858","Po karanténe","Multifunkčné zariadenie","tlač, kopírovanie, skenovanie","30232150-0 Atramentové tlačiarne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157858","0","0",
"OF-158019","Po karanténe","Náhradné diely na kolesový traktor Zetor 5211, 7211, 8011","náhradné diely, Zetor 5211, 7211, 8011","34913000-0 Rôzne náhradné diely; 16800000-3 Časti poľnohospodárskych a lesníckych mechanizmov; 16700000-2 Traktory/ťahače; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158019","1","2033,330",
"OF-158117","Po karanténe","Stojany zd","pipetové špice ","24950000-8 Špecializované chemické výrobky; 24000000-4 Chemické výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158117","0","0",
"OF-158126","Po karanténe","Lyzačný roztok pre erytrocyty","roztok, erytrocyty","24300000-7 Základné anorganické a organické chemikálie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158126","1","270,000",
"OF-158185","Po karanténe","Midazolam Accord 5 mg/ml alebo ekvivalent účinnej látky s identickým zložením, liekovou formou a silou		","Lieky, liečivá, psycholeptiká","33661500-6 Psycholeptiká; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158185","1","0",
"OF-158194","Po karanténe","Stravné poukážky"," stravné lístky a dodanie stravných lístkov, gastrolístky, stravné poukážky","30199770-8 Stravné poukážky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158194","0","0",
"OF-158221","Po karanténe","Informačná technika","externý disk, počítač, notebook","30213300-8 Stolový počítač; 30237230-0 Pamäte; 30237460-1 Počítačové klávesnice; 30237410-6 Počítačová myš; 30213000-5 Osobné počítače; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158221","1","0",
"OF-158287","Po karanténe","Krabica na medicínsky odpad","Krabica na medicínsky odpad","22000000-0 Tlačené výrobky a príbuzné produkty; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158287","1","995,000",
"OF-157215","Po karanténe","Odvoz a likvidácia kuchynského odpadu ","odlučovač tukov, lapač tukov, odvoz, likvidácia, kuchynský odpad","90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom; 90512000-9 Služby na prepravu odpadu","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157215","1","2750,000",
"OF-157258","Po karanténe","Silikonizované kyvety pre AggRAM & PACKS4; STIRRER BARS pre AggRAM","kyvety","33694000-1 Diagnostické činidlá; 33696500-0 Laboratórne činidlá; 33793000-5 Sklenené výrobky pre laboratóriá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157258","1","1125,890",
"OF-157494","Po karanténe","CAVINTON FORTE alebo ekvivalent účinnej látky s identickým zložením, liekovou formou a silou","Lieky, liečivá, psychoanaleptiká","33661600-7 Psychoanaleptiká; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157494","0","0",
"OF-157526","Po karanténe","Nátronové anestéziologické vápno guličkové","zdravotnícky spotrebný materiál, nátronové vápno, anestéziologické vápno, absorbent CO2, ","33140000-3 Zdravotnícky spotrebný materiál; 33170000-2 Anestézia a resuscitácia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157526","1","5973,000",
"OF-157558","Po karanténe","Kancelárska technika - tlačiarne / multifunkčné zariadenia","tlačiareň, multifunkčné zariadenie, kancelárska technika","30232100-5 Tlačiarne a zapisovače; 30232110-8 Laserové tlačiarne; 30232130-4 Farebné grafické tlačiarne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157558","1","4225,000",
"OF-157594","Po karanténe","Fotovalce do tlačiarní","fotovalec","30124300-7 Valce pre kancelárske stroje","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157594","1","254,990",
"OF-157728","Po karanténe","Umývacie tablety Detabinox alebo ekvivalent pre konvektomaty Inoxtrend ","Detabinox, tablety pre konvektomaty","39830000-9 Čistiace výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157728","1","282,590",
"OF-158396","Po karanténe","Diagnostické súpravy a kalibračný a kontrolný materiál","diagnostická súprava, kalibračný materiál, kontrolný materiál","33141625-7 Diagnostické súpravy; 33694000-1 Diagnostické činidlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/158396","0","0",
"OF-157781","Po karanténe","Koberec – metráž - nový","Koberec","39530000-6 Koberce, rohože a predložky; 39531000-3 Koberce; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157781","1","216,650",
"OF-157798","Po karanténe","Premi®Test","test","24900000-3 Čisté a rôzne chemické výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157798","0","0",
"OF-157913","Po karanténe","Kancelársky set monitora a počítača","pracovná stanica , procesor, operačná pamäť, monitor, displej,uhlopriečka","30213300-8 Stolový počítač; 60000000-8 Dopravné služby (bez prepravy odpadu); 30231000-7 Počítačové monitory a konzoly","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/157913","1","3866,670",
