"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-286545","Po karanténe","Lieky ","Analgetiká, anestetiká, vitamíny, srdcovocievny systém, dýchací systém, nervový systém, psycholeptiká, psychoanaleptiká, rôzne iné lieky a liečivá","33610000-9 Liečivá pre výživovú sústavu a látkovú premenu; 33616000-1 Vitamíny; 33690000-3 Rôzne liečivá; 60000000-8 Dopravné služby (bez prepravy odpadu); 33621100-0 Antitrombotické činidlá; 33622100-7 Liečivá pre srdcovú terapiu; 33631100-3 Fungicídy na dermatologické použitie; 33641100-6 Gynekologické antiinfekčné a antiseptické prípravky; 33642100-3 Hypofýzové, hypotalamické hormóny a analogické zlúčeniny; 33651100-9 Látky ničiace baktérie na systémové použitie; 33642300-5 Liečivá pre tyreoidálnu terapiu; 33652300-8 Imunosupresívne činidlá; 33661200-3 Analgetiká; 33691300-3 Ektoparaziticídy vrátane skabicídov, insekticídov a repelentov; 33670000-7 Liečivá pre dýchací systém","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/286545","0","0",
"OF-287057","Po karanténe","Kancelársky kopírovací papier","Kancelársky kopírovací papier, papier, tlač, kopírovanie","30197644-2 Xerografický papier; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/287057","0","0",
"OF-287604","Po karanténe","chladiaca skriňa","chladiaca skriňa","39711100-0 Chladničky a mrazničky; 39711124-4 Priemyselné chladničky; 39711130-9 Chladničky; 42513000-5 Chladiace a mraziace zariadenia; 39711123-7 Stojaté chladničky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/287604","0","0",
"OF-288367","Po karanténe"," Parný sterilizátor  1x  s chladením a 1x bez chladenia s príslušenstvom","parný sterilizátor","33191100-6 Sterilizátory; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288367","0","0",
"OF-288438","Po karanténe","Kancelárske potreby (Rámcová zmluva)","papier, pero, zakladač, obálka, zvýrazňovač, zošit, kniha, popisovač, zvýrazňovač, špagát, obal, mapa, doska","30192000-1 Kancelárske potreby; 30100000-0 Kancelárske stroje, vybavenie a spotrebný materiál s výnimkou počítačov, tlačiarní a nábytku; 30197000-6 Drobné kancelárske vybavenie; 30197643-5 Papier na fotokopírovanie; 30197642-8 Papier na fotokopírovanie a xerografický papier; 30197644-2 Xerografický papier; 30197630-1 Papier na tlač alebo iné grafické účely; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288438","0","0",
"OF-288445","Po karanténe","Opakovaná dodávka liekov","analgetiká, anestetiká, srdcovocievny systém, dýchací systém, nervový systém, psycholeptiká, psychoanaleptiká, rôzne iné lieky a liečivá","33610000-9 Liečivá pre výživovú sústavu a látkovú premenu; 33612000-3 Liečivá pre funkčné gastrointestinálne poruchy; 33614000-7 Antidiaroiká, črevné protizápalové/protiinfekčné činidlá; 33615000-4 Liečivá používané pri cukrovke; 33615100-5 Inzulín; 33616000-1 Vitamíny; 33617000-8 Minerálne doplnky; 33620000-2 Liečivá pre krv, krvotvorné orgány a srdcovocievny systém; 33621000-9 Liečivá pre krv a krvotvorné orgány; 33621100-0 Antitrombotické činidlá; 33621200-1 Antihemoragiká; 33621300-2 Antianemické prípravky; 33622000-6 Liečivá pre srdcovocievny systém; 33622200-8 Antihypertenzíva; 33622300-9 Diuretiká; 33630000-5 Liečivá pre dermatológiu a muskuloskeletálny systém; 33631110-6 Kyselina salicilová; 33632000-9 Liečivá pre muskuloskeletálny systém; 33632100-0 Protizápalové a protireumatické prípravky; 33632200-1 Svalové relaxanciá; 33641000-5 Liečivá pre močovopohlavný systém a pohlavné hormóny; 33642200-4 Kortikosteroidy na systémové použitie; 33650000-1 Všeobecné antiinfekčné látky na systémové použitie, očkovacie látky, antineoplastické prostriedky a imunomodulačné činidlá; 33651100-9 Látky ničiace baktérie na systémové použitie; 33651300-1 Fungicídy ničiace baktérie na systémové použitie; 33661000-1 Liečivá pre nervový systém; 33661100-2 Anestetiká; 33661200-3 Analgetiká; 33661500-6 Psycholeptiká; 33662100-9 Oftalmologiká; 33670000-7 Liečivá pre dýchací systém; 33674000-5 Prípravky proti kašľu a nachladnutiu; 33675000-2 Antihistaminiká na systémové použitie; 33690000-3 Rôzne liečivá; 33691000-0 Antiparazitné výrobky, insekticídy a repelenty; 33692000-7 Lekárske roztoky; 33692100-8 Infúzne roztoky; 33698300-2 Tráviace látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288445","0","0",
"OF-288528","Po karanténe","Laboratórny spotrebný materiál","Petriho miska, sklo hodinové, kopistka, špachtľa, teflónové tesniaca vložka, čistiace utierky, mazivo pre ventily","33140000-3 Zdravotnícky spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288528","1","0",
"OF-288531","Po karanténe","Chemikálie - Cyklohexán, Hydroxypropyl, Polymeráza","Chemikálie, Cyklohexán, Hydroxypropyl, Polymeráza","24300000-7 Základné anorganické a organické chemikálie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288531","0","0",
"OF-288561","Po karanténe","Bezpečnostno - technická kontrola (BTK) monitor/defibrilátora ZOLL X Series a prenosného pľúcneho ventilátora ZOLL EMV+.","technická, bezpečnostná, monitor/defibrilátor, zoll, series, prenosný, pľúcny, kontrola, ventilátor","50421000-2 Opravy a údržba lekárskych zariadení; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288561","0","0",
"OF-288601","Po karanténe","Bezpečnostno - technická kontrola (BTK) prenosných odsávačiek S-SCORT new-Duet 2314 a Laerdal Suction Unit.","technická, kontrola, defibrilátor, aed 3, zoll, bezpečnostná, s-scort, duet 2314, laerdal, suction, unit","50421000-2 Opravy a údržba lekárskych zariadení; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/288601","0","0",
