"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-168733","Po karanténe","Počítačová zostava ","osobný počítač s monitorom, klávesnicou a optickou myšou","30213000-5 Osobné počítače; 33195100-4 Monitory; 30237200-1 Príslušenstvo počítačov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/168733","1","4499,170",
"OF-167359","Po karanténe","Zdravotnícky spotrebný materiál - zinkoglejové ovínadlo, tampón stáčaný, lopatka, sáčok močový, lyžičky, chirurgické obväzy, gáza","zinkoglejové ovínadlo, tampón stáčaný, lopatka, sáčok močový, lyžičky, chirurgické obväzy, gáza","33140000-3 Zdravotnícky spotrebný materiál; 33141110-4 Chirurgické obväzy; 33141114-2 Zdravotnícka gáza; 33192500-7 Skúmavky; 33141615-4 Vaky na moč; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/167359","1","0",
"OF-167259","Po karanténe","Chirurgické šitie","chirurgické šitie","33141121-4 Chirurgické nite na zošívanie rán; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/167259","1","0",
"OF-167797","Po karanténe","Laboratórne vybavenie, predkolóny, kolóny LC				","Laboratórne vybavenie, predkolóny, kolóny LC				","38000000-5 Laboratórne, optické a presné prístroje a vybavenie (s výnimkou skiel); 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/167797","1","5205,000",
"OF-168072","Po karanténe","Tonery - originál","Tonery, náplne do tlačiarní","30125120-8 Toner do fotokopírovacích strojov; 30125110-5 Toner do laserových tlačiarní/faxových prístrojov; 30125100-2 Tonerové náplne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/168072","1","89,000",
"OF-168865","Po karanténe","Dodanie štrkodrvy","kamenivo, štrk","14212300-3 Drvený a mletý kameň; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba; Stavebná práca","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/168865","1","31900,000",
"OF-168029","Po karanténe","Vzdelávacia aktivita s názvom Prezentačné zručnosti","školenie; vzdelávanie","80511000-9 Školenie pracovníkov; 80510000-2 Služby týkajúce sa odborných školení","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/168029","1","410,000",
"OF-168129","Po karanténe","Chemikálie na pranie s technológiou dávkovania","Chemikálie na pranie, dávkovanie pracích chemikálií","39831000-6 Pracie prostriedky; 42993200-5 Dávkovacie zariadenia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/168129","1","2215,000",
"OF-169008","Po karanténe","Zvýšenie miery predchádzania vzniku BRKO - nákup kompostérov","Kompostér, doprava","39234000-1 Škatule na kompost; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/169008","1","74683,330",
"OF-168404","Po karanténe","Elektroinštalačný materiál, náradie","vodiče, zásuvky, svietidlá, káble, svetelné zdroje","31519000-7 Žiarivky a neónové lampy; 44322100-4 Elektroinštalačné káble; 31224100-3 Zástrčky a zásuvky; 31532000-4 Časti lámp a svietidiel a príslušenstvo k nim","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/168404","1","1125,000",
