"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-24695","Po karanténe","Operačný stôl","Operačný stôl mobilný, stôl pre operačný sál, stôl pre operačné zákroky, operačný stôl","33162100-4 Prístroje operačnej sály","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/24695","0","0",
"OF-32484","Po karanténe","Bežný kancelársky materiál","Obálky, rýchloviazače, pákové zakladače, lepiace pásky, tyčinky, samolepiace bločky, náplne do pier, ceruzky, baliaci papier, zvýrazňovače, spony, zošívačky, podložky pod myš, tlačivá, farba na pečiatky, mokre utierky, špagát, kalkulačky, CD-R nosiče, zošity","30192000-1 Kancelárske potreby; 30197000-6 Drobné kancelárske vybavenie; 30197100-7 Sponky, cvočky, pripináčiky; 30197200-8 Krúžkové viazače a spony na papier; 30199200-2 Obálky, neilustrované karty a korešpondenčné lístky; 30199410-7 Samolepiaci papier; 60000000-8 Dopravné služby (bez prepravy odpadu); 30192800-9 Samolepiace etikety; 30199000-0 Papiernický tovar a iné položky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/32484","1","3172,150",
"OF-33007","Po karanténe","Zimné pneumatky","Pneumatiky","34351100-3 Pneumatiky pre motorové vozidlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/33007","0","0",
"OF-45748","Po karanténe","chladnička","voľne stojaca chladnička","39711130-9 Chladničky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/45748","1","299,000",
"OF-48174","Po karanténe","Operačný stôl s vymeniteľnou hlavnou doskou","Operačný stôl, stôl pre operačné výkony, zákrokový  stôl, systémový operačný stôl","33160000-9 Operačná technika; 33162000-3 Prístroje a nástroje operačnej sály; 33162100-4 Prístroje operačnej sály; 33162200-5 Nástroje operačnej sály; 60000000-8 Dopravné služby (bez prepravy odpadu); 33192230-3 Operačné stoly","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/48174","0","0",
"OF-70373","Po karanténe","RDG systém 50kW s 1 digitálnym detektorom, el.stôl","RDG systém","33111000-1 Röntgenové prístroje","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/70373","0","0",
"OF-70427","Po karanténe","Pojazdný RTG prístroj","RTG prístroj","33111000-1 Röntgenové prístroje","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/70427","0","0",
"OF-81928","Po karanténe"," Ergonomická kancelárska stolička otočná"," Ergonomická, kancelárska, stolička, kreslo, otočné","39111100-4 Otočné sedadlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/81928","1","8416,670",
"OF-85486","Po karanténe","Elektrochirurgický generátor","Elektrochirurgický generátor, elektrogenerátor","33161000-6 Elektrochirurgické jednotky; 51410000-9 Inštalácia lekárskych zariadení; 80511000-9 Školenie pracovníkov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/85486","0","0",
"OF-87860","Po karanténe","Mäso a mäsové výrobky","mäso, mäsové výrobky, hydina","15100000-9 Živočíšne výrobky, mäso a mäsové výrobky; 15113000-3 Bravčové mäso; 15130000-8 Mäsové výrobky; 15131200-7 Sušené, nasolené, údené alebo korenené mäso; 15111100-0 Hovädzie mäso; 15112000-6 Hydina; 15131100-6 Výrobky z klobásového mäsa; 15131410-2 Šunka; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/87860","0","0",
